"","lat","long","siteID","plotID","horizon","dnaSampleID","collectDate"
"56",71.273924,-156.599236,"BARR","BARR_002","O","BARR_002-O-20170808-COMP-DNA1",2017-08-09
"57",40.818451,-104.707164,"CPER","CPER_003","M","CPER_003-M-20170710-COMP-DNA1",2017-07-10
"58",42.424246,-72.258285,"HARV","HARV_001","O","HARV_001-O-20180710-COMP-DNA1",2018-07-10
"59",68.616768,-149.629355,"TOOL","TOOL_004","O","TOOL_004-O-20170726-COMP-DNA1",2017-07-26
"60",42.392282,-72.254598,"HARV","HARV_013","O","HARV_013-O-20180712-COMP-DNA1",2018-07-12
"61",63.863602,-149.273634,"HEAL","HEAL_004","O","HEAL_004-O-20160802-COMP-DNA1",2016-09-06
"62",45.491627,-89.551228,"TREE","TREE_006","M","TREE_006-M-20170707-COMP-DNA1",2017-07-10
"63",47.12829,-99.243528,"WOOD","WOOD_044","M","WOOD_044-M-20170711-COMP-DNA1",2017-07-11
"64",39.041659,-95.19703,"UKFS","UKFS_032","M","UKFS_032-M-20160720-COMP-DNA1",2016-07-20
"65",40.460659,-103.033324,"STER","STER_005","M","STER_005-M-20160816-COMP-DNA1",2016-08-16
"66",40.04845,-105.584355,"NIWO","NIWO_042","M","NIWO_042-M-20160828-COMP-DNA1",2016-08-28
"67",35.930248,-84.270109,"ORNL","ORNL_001","O","ORNL_001-O-20170619-COMP-DNA1",2017-06-19
"68",42.478565,-72.259572,"HARV","HARV_002","O","HARV_002-O-20170801-COMP-DNA2",2017-08-01
"69",32.951498,-87.398914,"TALL","TALL_047","M","TALL_047-M-20180618-COMP-DNA1",2018-06-18
"70",31.910099,-110.837175,"SRER","SRER_043","M","SRER_043-M-20170815-COMP-DNA1",2017-08-15
"71",17.963818,-66.875667,"GUAN","GUAN_006","M","GUAN_006-M-20171109-COMP-DNA1",2017-11-09
"72",37.082813,-119.743324,"SJER","SJER_002","M","SJER_002-M-20170314-COMP-DNA1",2017-03-14
"73",39.115597,-96.638463,"KONA","KONA_002","M","KONA_002-M-20170808-COMP-DNA1",2017-08-08
"74",35.686509,-83.506609,"GRSM","GRSM_059","O","GRSM_059-O-20170718-COMP-DNA1",2017-07-18
"75",39.038041,-95.187902,"UKFS","UKFS_044","M","UKFS_044-M-20160718-COMP-DNA1",2016-07-18
"76",40.043663,-105.569904,"NIWO","NIWO_005","O","NIWO_005-O-20180801-COMP-DNA1",2018-08-01
"77",46.256247,-89.53609,"UNDE","UNDE_003","M","UNDE_003-M-20180723-COMP-DNA1",2018-07-23
"78",68.585776,-149.54318,"TOOL","TOOL_001","O","TOOL_001-O-20170721-COMP-DNA1",2017-07-22
"79",31.855414,-88.160393,"LENO","LENO_063","M","LENO_063-M-20160829-COMP-DNA1",2016-08-29
"80",40.176674,-112.456785,"ONAQ","ONAQ_042","M","ONAQ_042-M-20160727-COMP-DNA1",2016-07-27
"81",44.047079,-71.306661,"BART","BART_001","O","BART_001-O-20170612-COMP-DNA1",2017-06-12
"82",47.131002,-99.242763,"WOOD","WOOD_043","M","WOOD_043-M-20170711-COMP-DNA1",2017-07-11
"83",29.691969,-81.992063,"OSBS","OSBS_027","M","OSBS_027-M-20180710-COMP-DNA1",2018-07-10
"84",40.817292,-104.750288,"CPER","CPER_045","M","CPER_045-M-20180702-COMP-DNA1",2018-07-02
"85",39.103827,-96.561811,"KONZ","KONZ_045","M","KONZ_045-M-20170712-COMP-DNA1",2017-07-12
"86",45.506757,-89.58706,"STEI","STEI_060","O","STEI_060-O-20160726-COMP-DNA1",2016-07-26
"87",28.1232,-81.43487,"DSNY","DSNY_043","M","DSNY_043-M-20170830-COMP-DNA1",2017-08-30
"88",47.127465,-99.246302,"WOOD","WOOD_045","M","WOOD_045-M-20170711-COMP-DNA1",2017-07-11
"89",35.916313,-84.263286,"ORNL","ORNL_027","O","ORNL_027-O-20160727-COMP-DNA1",2016-07-27
"90",32.922166,-87.428895,"TALL","TALL_002","O","TALL_002-O-20160823-COMP-DNA1",2016-08-23
"91",17.970294,-66.824633,"GUAN","GUAN_002","M","GUAN_002-M-20160927-COMP-DNA1",2016-09-27
"92",68.665514,-149.375519,"TOOL","TOOL_043","O","TOOL_043-O-20170719-COMP-DNA1",2017-07-19
"93",32.948795,-87.397268,"TALL","TALL_054","M","TALL_054-M-20160823-COMP-DNA1",2016-08-23
"94",35.982199,-84.212753,"ORNL","ORNL_002","O","ORNL_002-O-20160727-COMP-DNA1",2016-07-27
"95",46.234625,-89.560771,"UNDE","UNDE_001","O","UNDE_001-O-20180723-COMP-DNA1",2018-07-23
"96",46.231744,-89.53264,"UNDE","UNDE_044","O","UNDE_044-O-20180724-COMP-DNA1",2018-07-24
