"uid","namedLocation","domainID","siteID","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","elevation","elevationUncertainty","plotID","collectDate","processedDate","laboratoryName","sampleID","sampleCode","biomassID","internalLabID","batchID","testProtocolVersion","freshMass","freezeDryMass","c8To0Concentration","c10To0Concentration","c11To0Concentration","lipid2OH10To0Concentration","c12To0Concentration","c13To0Concentration","lipid2OH12To0Concentration","lipid3OH12To0Concentration","c14To1Concentration","c14To0Concentration","i14To0Concentration","i15To0Concentration","aC15To0Concentration","c15To0Concentration","c15To1Concentration","lipid2OH14To0Concentration","lipid3OH14To0Concentration","i16To0Concentration","cis16To1n9Concentration","c16To1Cis11Concentration","c16To0Concentration","lipid10Methyl16To0Concentration","i17To0Concentration","c17To1Concentration","cyclo17To0Concentration","c17To0Concentration","c17To0AnteisoConcentration","lipid2OH16To0Concentration","lipid10Methyl17To0Concentration","c18To3n6Concentration","cis18To2n912Concentration","cis18To1n9Concentration","trans18To1n9Concentration","trans18To2n912Concentration","c18To3n3Concentration","c18To1n11Concentration","c18To0Concentration","lipid10Methyl18To0Concentration","cyclo19To0Concentration","c19To0Concentration","c19To1Cis10Concentration","c20To4n6Concentration","c20To5n3Concentration","c20To3n6Concentration","c20To2Concentration","c20To1Concentration","c20To3n3Concentration","c20To0Concentration","c21To0Concentration","c22To2Concentration","c22To1n9Concentration","c22To0Concentration","c22To6CisConcentration","c23To0Concentration","c24To1Concentration","c24To0Concentration","totalLipidConcentration","extractionEfficiency","extractEffStdConc","processedBy","reviewedBy","remarks","analysisResultsQF","dataQF","publicationDate","release"
"480f72ba-7923-44d6-8ce3-77ad0d1922aa","HARV_002.basePlot.bgc","D01","HARV",42.478565,-72.259572,"WGS84",20.12,193.6,0.1,"HARV_002",2018-04-17 14:09:00,2019-12-10,"EcoCore_CSU","HARV_002-M-9.5-1.5-20180417","A00000001239","HARV_002-M-9.5-1.5-20180417-BM","B12-15","20191210 Set 12-1","EcoCore_PLFA_SOP_v2",1.54,0.25,0,0,0,0,0,0,9.82,0,0,0,0,9.08,3.74,0,0,0,0,2.29,6.67,4.6,16.76,0,1.28,0,5.49,0.16,0.99,0,0,0,8.36,10.13,4.2,0,0.01,21.61,8.6,0,0.74,NA,24.46,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0.4,139.38,11.44,10.87,"i5Sqb/E/lt+PX2YA7Vy14Q==","n1ZvJKzEEAM=",NA,"0",NA,"20201218T115442Z","RELEASE-2021"
"e8064f27-b6b7-45bb-9b05-1dbcfd19efc6","HARV_002.basePlot.bgc","D01","HARV",42.478565,-72.259572,"WGS84",20.12,193.6,0.1,"HARV_002",2018-04-17 14:55:00,2019-03-29,"EcoCore_CSU","HARV_002-O-34.5-24-20180417","A00000001236","HARV_002-O-34.5-24-20180417-BM","B4-20","20190329 Set 4-1","EcoCore_PLFA_SOP_v2",0.55,0.22,0,0,0,0,7.82,0,0,0,9.76,8.44,0,23.85,3.17,5.48,0,0,6.12,12.16,28.45,8.86,48.28,4.12,0,3.45,11.23,4.73,0,0,16.42,3.87,24.69,60.11,7.74,3.47,5.4,26.4,11.28,3.22,0.73,NA,44.85,3.67,3.61,0,0,3.09,0,4.87,NA,0,3.43,9.45,0,3.49,3.9,11.97,441.58,6.46,6.13,"UUHyUZEFXsxB8sFGg5Hhww==","n1ZvJKzEEAM=",NA,"2",NA,"20201218T115442Z","RELEASE-2021"
"4fac2385-f698-47c9-ad2c-1589379f3254","HARV_002.basePlot.bgc","D01","HARV",42.478565,-72.259572,"WGS84",20.12,193.6,0.1,"HARV_002",2018-04-17 14:55:00,2019-03-29,"EcoCore_CSU","HARV_002-M-34.5-24-20180417","A00000001238","HARV_002-M-34.5-24-20180417-BM","B4-5","20190329 Set 4-1","EcoCore_PLFA_SOP_v2",1.61,1.16,0,0,0,0,0,0,1.21,0,0,1.29,0,1.63,1.25,0.56,0,0,0.91,1.02,1.87,1.36,3.31,0.6,0,0.56,1.13,0.62,0,0,1.6,0,0.66,2.72,1.08,0,0.57,4.18,1.35,0.43,0.07,NA,3.94,0.54,0,0,0,0,0,0.81,NA,0,0,1.27,0,0.58,0.66,1.45,39.23,8.88,8.44,"UUHyUZEFXsxB8sFGg5Hhww==","n1ZvJKzEEAM=",NA,"2",NA,"20201218T115442Z","RELEASE-2021"
"535777d5-c4e7-43c9-afcf-4eb2dd494465","HARV_002.basePlot.bgc","D01","HARV",42.478565,-72.259572,"WGS84",20.12,193.6,0.1,"HARV_002",2018-04-17 15:07:00,2019-12-10,"EcoCore_CSU","HARV_002-M-28.5-1.5-20180417","A00000001237","HARV_002-M-28.5-1.5-20180417-BM","B12-47","20191210 Set 12-1","EcoCore_PLFA_SOP_v2",1.73,1.21,0,0,0,0,0,0,2.18,0,0,0,0,1.6,0.49,0,0,0,0,0.67,1.01,0.93,3.5,0,0.43,0,0.72,0,0.33,0,0,0,2.2,2.13,1.03,0,0,3.1,3.96,0,0.14,NA,3.78,0,0,0,0,0,0,0,NA,0.02,0,0,0,0,0,0.36,28.57,9.13,8.67,"i5Sqb/E/lt+PX2YA7Vy14Q==","n1ZvJKzEEAM=",NA,"2",NA,"20201218T115442Z","RELEASE-2021"
"172412ca-46de-485c-83b3-10c4de43f9ee","HARV_002.basePlot.bgc","D01","HARV",42.478565,-72.259572,"WGS84",20.12,193.6,0.1,"HARV_002",2018-04-17 15:07:00,2019-03-29,"EcoCore_CSU","HARV_002-O-28.5-1.5-20180417","A00000001234","HARV_002-O-28.5-1.5-20180417-BM","B4-19","20190329 Set 4-1","EcoCore_PLFA_SOP_v2",0.4,0.15,0,0,0,0,10.86,0,8.36,0,13.31,11.25,0,26.28,5.17,5.64,0,0,7.98,15.91,29.15,13.76,45.42,5.68,0,4.69,12.19,5.66,0,0,21.15,5.94,13.96,43.01,8.13,4.83,6.11,30.72,12.88,4.68,42.38,NA,0,4.8,4.58,0,0,4.17,0,6.6,NA,0,4.92,11.38,0,4.84,5.5,13.53,475.42,8.86,8.42,"UUHyUZEFXsxB8sFGg5Hhww==","n1ZvJKzEEAM=",NA,"2",NA,"20201218T115442Z","RELEASE-2021"
"41c693d9-5b5b-4ced-b03f-96ca1243a092","HARV_005.basePlot.bgc","D01","HARV",42.489469,-72.275158,"WGS84",20.12,189.8,0.3,"HARV_005",2018-04-17 16:36:00,2019-03-29,"EcoCore_CSU","HARV_005-O-12.5-38-20180417","A00000001247","HARV_005-O-12.5-38-20180417-BM","B4-28","20190329 Set 4-1","EcoCore_PLFA_SOP_v2",0.46,0.1,0,0,0,0,0,0,0,0,10.71,14.6,0,16.19,5.72,7.74,0,0,9.32,12.8,19.19,10.39,41.88,6.13,0,6.03,10.54,7.45,6.81,0,16.77,6.62,23.54,40.05,7.72,0,7.29,19.48,14.97,5.42,26.29,NA,0,7.53,7.37,0,0,5.42,0,9.27,NA,0,0,15.25,0,6.57,7.43,14.71,427.18,6.92,6.58,"UUHyUZEFXsxB8sFGg5Hhww==","n1ZvJKzEEAM=",NA,"2",NA,"20201218T115442Z","RELEASE-2021"
"3d8093ae-3eb0-43da-926d-365e650ee5f0","HARV_005.basePlot.bgc","D01","HARV",42.489469,-72.275158,"WGS84",20.12,189.8,0.3,"HARV_005",2018-04-17 17:09:00,2019-03-29,"EcoCore_CSU","HARV_005-M-12.5-38-20180417","A00000001242","HARV_005-M-12.5-38-20180417-BM","B4-3","20190329 Set 4-1","EcoCore_PLFA_SOP_v2",0.54,0.36,0,0,0,0,0,0,2.38,0,0,3.98,0,2.76,2.46,1.65,0,0,3.01,2.24,3.16,2.34,7.51,1.68,0,1.66,2.14,1.75,0,0,3.11,0,1.71,5.56,2.34,0,1.85,6,3.74,1.64,0,NA,4.56,1.7,1.35,0,0,0,0,2.59,NA,0,0,4.04,0,1.73,2.16,3.79,86.6,16.32,15.51,"UUHyUZEFXsxB8sFGg5Hhww==","n1ZvJKzEEAM=",NA,"0",NA,"20201218T115442Z","RELEASE-2021"
"3363533d-9b14-4fff-bf48-dfe5cb7718f9","HARV_021.basePlot.bgc","D01","HARV",42.45243,-72.250472,"WGS84",20.1,175.1,0.1,"HARV_021",2018-04-17 17:16:00,2019-03-29,"EcoCore_CSU","HARV_021-O-1-22.5-20180417","A00000001283","HARV_021-O-1-22.5-20180417-BM","B4-35","20190329 Set 4-1","EcoCore_PLFA_SOP_v2",0.51,0.23,0,0,0,0,6.82,2.96,3.9,0,5.18,6.53,0,10.96,0,3.13,0,0,4.39,8.11,10.47,3.99,19.05,3.49,0,2.76,4.73,3.07,3.42,0,14.14,3.36,8.49,19.22,3.62,0,2.66,8.4,7.05,3.05,17.09,NA,0,3.08,2.7,0,0,2.5,0,4.34,NA,0,3.08,7.53,0,2.91,3.33,8.07,227.59,5.82,5.53,"UUHyUZEFXsxB8sFGg5Hhww==","n1ZvJKzEEAM=",NA,"2",NA,"20201218T115442Z","RELEASE-2021"
"9517c776-9e62-4166-a530-0a3f694f945a","HARV_005.basePlot.bgc","D01","HARV",42.489469,-72.275158,"WGS84",20.12,189.8,0.3,"HARV_005",2018-04-17 17:24:00,2019-10-31,"EcoCore_CSU","HARV_005-O-36-21-20180417","A00000001245","HARV_005-O-36-21-20180417-BM","B12-49","20191031 Set 12-2","EcoCore_PLFA_SOP_v2",0.72,0.4,0,0,0,0,0,0,7.23,0,0,0,0,7.07,2.01,0,0,0,0,2.77,5.92,2.27,11.6,0,0,0,1.81,0.03,0.38,0,0,0,5.82,14.28,0.82,0,0.09,6.51,2.75,0,2.6,NA,12.95,0.31,0.34,0,0,0,0,0,NA,0.02,0,0.11,0,0,0,0.95,88.65,15.01,14.26,"i5Sqb/E/lt+PX2YA7Vy14Q==","n1ZvJKzEEAM=",NA,"0",NA,"20201218T115442Z","RELEASE-2021"
"d9ea3933-a2b3-4ff0-a2bc-c6c5576685b5","HARV_005.basePlot.bgc","D01","HARV",42.489469,-72.275158,"WGS84",20.12,189.8,0.3,"HARV_005",2018-04-17 17:24:00,2019-03-29,"EcoCore_CSU","HARV_005-O-36-21-20180417","A00000001245","HARV_005-O-36-21-20180417-BM","B4-7","20190329 Set 4-1","EcoCore_PLFA_SOP_v2",0.55,0.37,0,0,0,0,0,0,2.62,0,0,3.83,0,2.87,2.51,1.56,0,0,0,2.24,3.16,2.28,6.78,1.62,0,1.62,2.03,1.77,0,0,3.15,0,0.62,5.23,2.38,0,1.59,5.57,3.62,1.56,0,NA,5.03,1.63,1.28,0,0,0,0,2.47,NA,0,0,3.89,0,1.75,2.14,3.84,80.62,16.39,15.57,"UUHyUZEFXsxB8sFGg5Hhww==","n1ZvJKzEEAM=",NA,"0",NA,"20201218T115442Z","RELEASE-2021"
