"uid","analysisDate","namedLocation","domainID","siteID","plotID","plotType","collectDate","sampleID","sampleCode","cnSampleID","cnSampleCode","sampleType","acidTreatment","d15N","organicd13C","nitrogenPercent","organicCPercent","CNratio","cnIsotopeQF","cnPercentQF","isotopeAccuracyQF","percentAccuracyQF","analyticalRepNumber","remarks","laboratoryName","testMethod","instrument","analyzedBy","reviewedBy","dataQF","publicationDate","release"
"2607deca-ae6f-420a-867c-b1aa2967a7fc",2015-04-28,"BART_023.basePlot.bgc","D01","BART","BART_023","distributed",2014-08-19 14:57:00,"BART_023-M-31-3-20140819",NA,"BART_023-M-31-3-20140819-CN",NA,"soil","N",5.1,-26.5,0.51,11.82,23,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData","20201217T042530Z","RELEASE-2021"
"79445b13-bcbc-44fa-b343-fd54027819c8",2015-04-28,"BART_023.basePlot.bgc","D01","BART","BART_023","distributed",2014-08-19 16:11:00,"BART_023-M-19-30-20140819",NA,"BART_023-M-19-30-20140819-CN",NA,"soil","N",3.1,-26.3,0.87,20.46,23.5,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData","20201217T042530Z","RELEASE-2021"
"9ef4737d-ffe0-4b31-b288-079889f8d6ae",2015-04-28,"BART_023.basePlot.bgc","D01","BART","BART_023","distributed",2014-08-19 16:11:00,"BART_023-O-19-30-20140819",NA,"BART_023-O-19-30-20140819-CN",NA,"soil","N",-1.4,-27.7,2.06,47.24,23,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData|dryingProtocolError","20201217T042530Z","RELEASE-2021"
"388dff8a-c21c-4a46-8732-00facef0a4a8",2015-04-28,"BART_005.basePlot.bgc","D01","BART","BART_005","distributed",2014-08-19 16:30:00,"BART_005-O-33-2-20140819",NA,"BART_005-O-33-2-20140819-CN",NA,"soil","N",2.1,-27.2,1.9,56.69,29.8,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData|dryingProtocolError","20201217T042530Z","RELEASE-2021"
"94f91da2-8557-44cc-8d9f-6d1d57f0d25e",2015-04-28,"BART_005.basePlot.bgc","D01","BART","BART_005","distributed",2014-08-19 16:30:00,"BART_005-M-33-2-20140819",NA,"BART_005-M-33-2-20140819-CN",NA,"soil","N",6.1,-26.5,0.23,7.14,31.1,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData","20201217T042530Z","RELEASE-2021"
"c03037d6-543b-4f90-95c8-42181f9260b5",2015-04-28,"BART_005.basePlot.bgc","D01","BART","BART_005","distributed",2014-08-19 17:07:00,"BART_005-O-4-9-20140819",NA,"BART_005-O-4-9-20140819-CN",NA,"soil","N",2.4,-27,2.31,52.77,22.9,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData|dryingProtocolError","20201217T042530Z","RELEASE-2021"
"cb147e96-711a-401f-b1fb-e2b7af721d54",2015-04-28,"BART_005.basePlot.bgc","D01","BART","BART_005","distributed",2014-08-19 17:07:00,"BART_005-M-4-9-20140819",NA,"BART_005-M-4-9-20140819-CN",NA,"soil","N",6,-26.2,0.19,6.86,35.4,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData","20201217T042530Z","RELEASE-2021"
"3e42a745-a1a2-4e95-a0d0-57743f583b1f",2015-04-28,"BART_005.basePlot.bgc","D01","BART","BART_005","distributed",2014-08-19 17:34:00,"BART_005-O-24-40-20140819",NA,"BART_005-O-24-40-20140819-CN",NA,"soil","N",5.8,-27,1.64,53.83,32.8,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData|dryingProtocolError","20201217T042530Z","RELEASE-2021"
"6d762de0-3d59-4d0b-bf2e-0e49bc4c5a2f",2015-04-28,"BART_005.basePlot.bgc","D01","BART","BART_005","distributed",2014-08-19 17:34:00,"BART_005-M-24-40-20140819",NA,"BART_005-M-24-40-20140819-CN",NA,"soil","N",7.8,-26.7,0.4,12.67,31.4,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData","20201217T042530Z","RELEASE-2021"
"a85bf2ec-0de5-48a1-b4bb-b57023580f67",2015-04-28,"BART_001.basePlot.bgc","D01","BART","BART_001","distributed",2014-08-19 18:11:00,"BART_001-O-15-1-20140819",NA,"BART_001-O-15-1-20140819-CN",NA,"soil","N",0.5,-27,1.63,41.43,25.4,"OK","OK",NA,NA,1,"Replicate samples","University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData|dryingProtocolError","20201217T042530Z","RELEASE-2021"
