"uid","domainID","siteID","pitNamedLocation","pitID","horizonID","biogeoID","horizonName","biogeoHorizonProportion","biogeoSampleType","setDate","collectDate","coarseFrag2To5","coarseFrag5To20","sandTotal","siltTotal","clayTotal","carbonateClay","clayFineContent","siltFineContent","siltCoarseContent","sandVeryFineContent","sandFineContent","sandMediumContent","sandCoarseContent","sandVeryCoarseContent","carbonTot","nitrogenTot","sulfurTot","estimatedOC","airDryOvenDry","alMjelm","caMjelm","feMjelm","kMjelm","mgMjelm","mnMjelm","naMjelm","pMjelm","siMjelm","srMjelm","tiMjelm","zrMjelm","phCacl2","phH2o","ec12pre","gypsumConc","caco3Conc","caNh4d","kNh4d","mgNh4d","naNh4d","cecdNh4","alSatCecd33","baseSumCecd10","bsesatCecd10","ececCecd33","alKcl","feKcl","mnKcl","bSatx","brSatx","caSatx","clSatx","co3Satx","ecSatp","flSatx","waterSatx","hco3Sx","kSatx","mgSatx","naSatx","no2Satx","no3Satx","pSatx","phSp","resist","so4Satx","laboratoryName","labProjID","biogeoTopDepth","biogeoBottomDepth","biogeoCenterDepth","remarks","publicationDate","release"
"c353857a-c628-4123-b377-7a3e9d411498","D01","HARV","MEGAPT100973","1_HARVARD_PIT1","1_HARVARD_PIT1_A","1_HARVARD_PIT1_4-9_BIOGEO_A","A",1,"Regular",2012-07-17,2012-07-17,8,55,58.8,29.5,11.7,NA,NA,17.8,11.7,12,20.5,16.3,8.6,1.4,96.7,7.1,0.2,96,1.032,54355,8518,23199,13648,3853,585,12422,1540,264102,194,4717,64,3.8,4.6,0.15,NA,0,0,0.3,0.3,0,25.1,NA,0.6,2,NA,6.1,NA,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2012USMA075",4,9,6.5,NA,"20201216T230651Z","RELEASE-2021"
"888fc180-e79c-461c-aaa6-832f9a131b16","D01","HARV","MEGAPT100973","1_HARVARD_PIT1","1_HARVARD_PIT1_BW2","1_HARVARD_PIT1_53-82_BIOGEO_BW2","Bw2",1,"Regular",2012-07-17,2012-07-17,31,85,87.2,9.7,3.1,NA,NA,5.5,4.2,9.2,35.8,32.4,7.6,2.2,2.8,0.4,0,3,1.006,52253,10572,17850,13266,3831,647,16277,610,326445,220,3116,40,4.9,5.2,0.07,NA,NA,0,0,0,0,2.2,NA,NA,NA,NA,0.4,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2012USMA075",53,82,67.5,NA,"20201216T230651Z","RELEASE-2021"
"ff322920-53be-4a77-b2d8-d3f08f61ce43","D01","HARV","MEGAPT100973","1_HARVARD_PIT1","1_HARVARD_PIT1_AP","1_HARVARD_PIT1_9-17_BIOGEO_AP","Ap",1,"Regular",2012-07-17,2012-07-17,21,24,60.1,28.7,11.2,NA,NA,17.5,11.2,11.8,20.8,18.3,7.1,2.1,59.6,3.9,0.1,59,1.029,56274,9272,24418,13694,4236,680,12998,1484,276426,221,4999,70,4,4.8,0.23,NA,0,0,0.2,0.2,0.1,19,NA,0.5,3,NA,4.6,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2012USMA075",9,17,13,NA,"20201216T230651Z","RELEASE-2021"
"62da27a7-e3a5-4910-b285-3c1e319f528f","D01","HARV","MEGAPT100973","1_HARVARD_PIT1","1_HARVARD_PIT1_2CD1","1_HARVARD_PIT1_113-133_BIOGEO_2CD1","2Cd1",1,"Regular",2012-07-17,2012-07-17,53,69,75.2,20.6,4.2,NA,NA,11.2,9.4,12.7,21.3,24.5,13,3.7,1.6,0.5,0,2,1.004,53073,10807,18103,17336,4142,680,16230,899,295960,217,3815,49,5,5.3,0.03,NA,NA,0,0,0,0,1.3,NA,NA,NA,NA,0.3,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2012USMA075",113,133,123,NA,"20201216T230651Z","RELEASE-2021"
"0c219f72-82d9-405d-8ef1-d8daebd9821b","D01","HARV","MEGAPT100973","1_HARVARD_PIT1","1_HARVARD_PIT1_2BC","1_HARVARD_PIT1_82-96_BIOGEO_2BC","2BC",1,"Regular",2012-07-17,2012-07-17,26,56,94.2,4.2,1.6,NA,NA,1.8,2.4,9.3,38.9,36.1,7.6,2.3,1.1,0.6,0,1,1.003,43844,10402,14627,12763,3083,653,16282,634,331137,199,2395,30,5,5.3,0.06,NA,NA,0,0,0,0,0.9,NA,NA,NA,NA,0.2,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2012USMA075",82,96,89,NA,"20201216T230651Z","RELEASE-2021"
"cdcfbbc7-16a6-4530-a6c5-a227316910b9","D01","HARV","MEGAPT100973","1_HARVARD_PIT1","1_HARVARD_PIT1_2C","1_HARVARD_PIT1_96-113_BIOGEO_2C","2C",1,"Regular",2012-07-17,2012-07-17,40,93,80.4,16.2,3.4,NA,NA,8.8,7.4,10.8,24.5,28,12.7,4.4,1,0.1,0,1,1.002,49080,10629,13457,14980,2933,631,16203,696,313282,207,2876,36,5.1,5.3,0.04,NA,NA,0,0,0,0,0.7,NA,NA,NA,NA,0.2,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2012USMA075",96,113,104.5,NA,"20201216T230651Z","RELEASE-2021"
"e2316f61-be37-4467-8d48-9f00d8bfc730","D01","HARV","MEGAPT100973","1_HARVARD_PIT1","1_HARVARD_PIT1_OI","1_HARVARD_PIT1_0-4_BIOGEO_OI","Oi",1,"Regular",2012-07-17,2012-07-17,6,0,53.3,31,15.7,NA,NA,21.8,9.2,11.8,19.1,18.2,3.6,0.6,255.1,13.9,0.9,254,1.061,32588,5730,13558,7556,1909,295,7177,1492,183014,121,2564,54,3.5,4.6,0.74,NA,10,2.1,1.4,1.5,0,54,NA,5,9,NA,3,NA,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2012USMA075",0,4,2,NA,"20201216T230651Z","RELEASE-2021"
"6f868198-743f-4d83-8979-4700f2e5386a","D01","HARV","MEGAPT100973","1_HARVARD_PIT1","1_HARVARD_PIT1_BW1","1_HARVARD_PIT1_32-53_BIOGEO_BW1","Bw1",1,"Regular",2012-07-17,2012-07-17,36,56,69.6,23.5,6.9,NA,NA,12.2,11.3,11.3,25.2,22.9,7.4,2.8,11.4,1.1,0.1,11,1.016,53647,8504,22128,14261,3448,612,14785,622,306649,188,4186,94,4.7,5,0.04,NA,NA,0,0,0,0,5.3,NA,NA,NA,NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2012USMA075",32,53,42.5,NA,"20201216T230651Z","RELEASE-2021"
"c7170ec4-e43b-464c-9f8c-7106c2ee8338","D01","HARV","MEGAPT100973","1_HARVARD_PIT1","1_HARVARD_PIT1_2CD2","1_HARVARD_PIT1_133-160_BIOGEO_2CD2","2Cd2",1,"Regular",2012-07-17,2012-07-17,113,93,95.4,2.5,2.1,NA,NA,2.2,0.3,2.3,8.3,24.5,39.2,21.1,0.7,0.2,0,1,1.002,55717,9252,27253,17672,3777,1694,16956,473,319657,189,2110,27,5.3,5.5,0.04,NA,NA,0,0,0,0,0.7,NA,NA,NA,NA,0.1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2012USMA075",133,160,146.5,NA,"20201216T230651Z","RELEASE-2021"
"78987496-32e1-4117-9bdc-d7fca3a3915e","D02","BLAN","MEGAPT100965","2_BLANDY_PIT1","2_BLANDY_PIT1_AP1","2_BLANDY_PIT1_2-14_BIOGEO_AP1","Ap1",1,"Regular",2013-01-14,2013-01-14,100,59,26.4,54.2,19.4,NA,NA,34.9,19.3,9.9,6.7,3.2,3.5,3.1,18.5,1.7,0,18,1.011,48441,1825,26926,18840,2703,1568,825,426,321227,23,5370,143,5.4,6,0.24,NA,0,5.6,0.8,0.7,0,8.6,NA,7.1,83,NA,NA,NA,NA,NA,0,2.3,0.4,0,0.42,0.2,59.3,2,1,0.6,0,0,0,0,6,NA,0.5,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USVA046",2,14,8,NA,"20201217T021806Z","RELEASE-2021"
