,dnaSampleID,collectDate,long,lat,spi30d,spi90d,spi180d,spi270d,spi1y,spi2y,spi5y,spei30d,spei90d,spei180d,spei270d,spei1y,spei2y,spei5y,test
0,OAES_045-M-20160809-COMP-DNA1,2016-08-09,-99.057569,35.410788,-0.23999999463558197,-1.0099999904632568,-0.8999999761581421,-0.5400000214576721,-1.4500000476837158,-0.029999999329447746,-1.1299999952316284,-0.46000000834465027,-0.6200000047683716,-0.800000011920929,-0.5400000214576721,-0.7099999785423279,-0.10000000149011612,-1.1299999952316284,-99.057569
1,CPER_006-M-20180702-COMP-DNA1,2018-07-02,-104.748078,40.814769,-0.6200000047683716,0.3199999928474426,0.6299999952316284,0.23999999463558197,0.38999998569488525,0.10000000149011612,2.0899999141693115,-0.7099999785423279,-0.23999999463558197,-0.17000000178813934,-0.6200000047683716,-0.23999999463558197,-0.5400000214576721,1.1299999952316284,-104.748078
2,DEJU_047-O-20180621-COMP-DNA1,2018-06-21,-145.739248,63.88224,,,,,,,,,,,,,,,-145.739248
3,GRSM_060-O-20160719-COMP-DNA1,2016-07-19,-83.503985,35.68601,0.10000000149011612,-0.6200000047683716,-1.0099999904632568,-0.46000000834465027,-0.6200000047683716,-0.3199999928474426,2.0899999141693115,0.10000000149011612,-0.6200000047683716,-1.1299999952316284,-0.6200000047683716,-0.5400000214576721,-0.3199999928474426,0.3199999928474426,-83.503985
4,CPER_002-M-20160719-COMP-DNA1,2016-07-19,-104.729248,40.810934,-0.23999999463558197,-0.10000000149011612,0.3199999928474426,0.7099999785423279,0.4699999988079071,1.2799999713897705,0.7099999785423279,-0.17000000178813934,0.17000000178813934,0.10000000149011612,0.23999999463558197,-0.029999999329447746,1.0099999904632568,-0.5400000214576721,-104.729248
5,WOOD_045-O-20170711-COMP-DNA1,2017-07-11,-99.246302,47.127465,0.38999998569488525,-0.6200000047683716,-0.8999999761581421,0.38999998569488525,0.17000000178813934,-0.46000000834465027,-0.3199999928474426,-0.23999999463558197,-0.8999999761581421,-0.7099999785423279,-0.3199999928474426,-0.10000000149011612,-0.5400000214576721,-0.800000011920929,-99.246302
6,JERC_048-M-20170725-COMP-DNA1,2017-07-26,-84.461913,31.196458,0.17000000178813934,0.38999998569488525,-1.1299999952316284,-0.029999999329447746,-0.7099999785423279,-0.3199999928474426,2.0899999141693115,0.3199999928474426,0.38999998569488525,-1.0099999904632568,-0.38999998569488525,-0.800000011920929,-0.5400000214576721,2.0899999141693115,-84.461913
7,MLBS_001-M-20180611-COMP-DNA1,2018-06-11,-80.524992,37.3607,0.38999998569488525,1.1299999952316284,0.8999999761581421,0.38999998569488525,0.6299999952316284,0.800000011920929,0.7099999785423279,0.23999999463558197,1.1299999952316284,1.0099999904632568,0.38999998569488525,0.4699999988079071,0.6299999952316284,0.6299999952316284,-80.524992
8,TOOL_001-M-20170721-COMP-DNA1,2017-07-22,-149.54318,68.585776,,,,,,,,,,,,,,,-149.54318
9,GRSM_058-O-20170718-COMP-DNA1,2017-07-18,-83.505443,35.691954,0.23999999463558197,0.800000011920929,0.7099999785423279,-0.029999999329447746,-0.5400000214576721,-0.6200000047683716,2.0899999141693115,0.4699999988079071,1.0099999904632568,0.800000011920929,-0.10000000149011612,-0.7099999785423279,-0.6200000047683716,0.8999999761581421,-83.505443
10,KONA_003-M-20170807-COMP-DNA1,2017-08-07,-96.599283,39.215287,-0.800000011920929,-1.0099999904632568,-0.23999999463558197,-0.23999999463558197,0.4699999988079071,0.8999999761581421,0.3199999928474426,-0.6200000047683716,-0.8999999761581421,-0.38999998569488525,-0.23999999463558197,0.17000000178813934,0.17000000178813934,-0.029999999329447746,-96.599283
11,STER_026-M-20160816-COMP-DNA1,2016-08-16,-103.0243,40.474713,-0.3199999928474426,-0.029999999329447746,0.029999999329447746,0.23999999463558197,-0.3199999928474426,0.7099999785423279,0.029999999329447746,-0.23999999463558197,-0.17000000178813934,-0.029999999329447746,0.029999999329447746,-0.46000000834465027,0.7099999785423279,-0.23999999463558197,-103.0243
12,GRSM_003-O-20160720-COMP-DNA1,2016-07-20,-83.474563,35.67661,-0.6200000047683716,-0.8999999761581421,-1.1299999952316284,-0.38999998569488525,-0.46000000834465027,-0.23999999463558197,2.0899999141693115,-0.3199999928474426,-0.800000011920929,-1.1299999952316284,-0.3199999928474426,-0.46000000834465027,-0.17000000178813934,1.2799999713897705,-83.474563
13,OSBS_029-M-20180710-COMP-DNA1,2018-07-10,-81.989891,29.692504,1.2799999713897705,1.690000057220459,1.690000057220459,2.0899999141693115,2.0899999141693115,2.0899999141693115,2.0899999141693115,1.1299999952316284,2.0899999141693115,1.690000057220459,2.0899999141693115,2.0899999141693115,2.0899999141693115,2.0899999141693115,-81.989891
14,LENO_006-M-20160830-COMP-DNA1,2016-08-30,-88.187361,31.814261,-0.38999998569488525,0.23999999463558197,0.4699999988079071,0.8999999761581421,0.5400000214576721,0.4699999988079071,2.0899999141693115,-0.17000000178813934,-0.029999999329447746,0.3199999928474426,0.800000011920929,0.4699999988079071,0.17000000178813934,2.0899999141693115,-88.187361
15,UKFS_044-M-20170802-COMP-DNA1,2017-08-02,-95.187902,39.038041,0.5400000214576721,0.10000000149011612,0.7099999785423279,0.38999998569488525,0.6299999952316284,0.3199999928474426,-0.23999999463558197,0.3199999928474426,-0.10000000149011612,0.10000000149011612,-0.10000000149011612,0.38999998569488525,-0.10000000149011612,-0.6200000047683716,-95.187902
