"","soilID","domainID","plotID","collectDate","mean_cn","mean_OrgC","mean_Org13C","mean_15n","mean_N"
"182","GUAN_002-M","D04","GUAN_002",2016-09-27,NA,15.8566666666667,-25.7666666666667,6.3,1.23333333333333
"183","GUAN_002-M","D04","GUAN_002",2018-09-24,NA,12.64,-25.8666666666667,6.3,1.38333333333333
"184","GUAN_003-M","D04","GUAN_003",2016-09-28,NA,28.8266666666667,-26.1333333333333,7.2,1.96333333333333
"185","GUAN_003-M","D04","GUAN_003",2018-09-25,NA,22.17,-25.6666666666667,6.66666666666667,1.97
"186","GUAN_004-M","D04","GUAN_004",2016-09-27,NA,30.3266666666667,-25.6333333333333,6.83333333333333,1.67333333333333
"187","GUAN_004-M","D04","GUAN_004",2018-09-25,NA,21.8125,-25.6,7.375,1.535
"188","GUAN_006-M","D04","GUAN_006",2016-10-05,NA,18.1933333333333,-24.8333333333333,6.1,0.75
"189","GUAN_006-M","D04","GUAN_006",2018-09-27,NA,14.5866666666667,-24.5333333333333,6.13333333333333,1.13333333333333
"190","GUAN_007-M","D04","GUAN_007",2016-09-28,NA,39.8033333333333,-25.8666666666667,6.4,2.11
"191","GUAN_007-M","D04","GUAN_007",2018-09-25,NA,28.0266666666667,-25.8666666666667,6.4,2.09666666666667
"192","GUAN_042-M","D04","GUAN_042",2016-10-04,NA,30.515,-25.55,8.825,2.4
"193","GUAN_042-M","D04","GUAN_042",2018-09-26,NA,19.4533333333333,-24.8333333333333,8.4,1.98333333333333
"194","GUAN_043-M","D04","GUAN_043",2016-10-05,NA,17.7766666666667,-26.0666666666667,6.26666666666667,0.69
"195","GUAN_043-M","D04","GUAN_043",2018-09-27,NA,19.3566666666667,-25.4666666666667,6,0.753333333333333
"196","GUAN_048-M","D04","GUAN_048",2016-10-04,NA,13.44,-25.1333333333333,8.1,1.16
"197","GUAN_048-M","D04","GUAN_048",2018-09-26,NA,9.395,-24.9,7.825,1.1225
"198","GUAN_049-M","D04","GUAN_049",2016-10-04,NA,8.74,-24,8.4,0.965
"199","GUAN_049-M","D04","GUAN_049",2018-09-26,NA,9.77333333333333,-25.1,7.23333333333333,0.96
"200","HARV_001-M","D01","HARV_001",2014-07-15,22.6,4.42333333333333,-27.2666666666667,5.06666666666667,0.193333333333333
"201","HARV_001-M","D01","HARV_001",2018-07-10,20.3,2.88666666666667,-26.9666666666667,4.96666666666667,0.14
"202","HARV_001-O","D01","HARV_001",2014-07-15,25.675,26.63,-28.85,-0.95,1.0375
"203","HARV_001-O","D01","HARV_001",2018-07-10,25.9333333333333,26.0233333333333,-28.3666666666667,0.0333333333333333,0.996666666666667
"204","HARV_002-M","D01","HARV_002",2014-07-16,20.5,3.69,-27.3,5.23333333333333,0.186666666666667
"205","HARV_002-M","D01","HARV_002",2018-07-11,25.0333333333333,4.62,-27.3333333333333,4,0.183333333333333
"206","HARV_002-O","D01","HARV_002",2014-07-16,28.1666666666667,11.72,-27.7,2.66666666666667,0.413333333333333
"207","HARV_002-O","D01","HARV_002",2018-07-11,26.9333333333333,29.61,-28.4666666666667,-0.166666666666667,1.12
"208","HARV_004-M","D01","HARV_004",2014-07-15,17.6,4.79,-26.8666666666667,4.7,0.273333333333333
"209","HARV_004-M","D01","HARV_004",2018-07-10,15.6333333333333,4.17333333333333,-26.6,4.26666666666667,0.27
"210","HARV_004-O","D01","HARV_004",2014-07-15,21.8666666666667,36.9,-28.6333333333333,-0.733333333333333,1.68333333333333
"211","HARV_004-O","D01","HARV_004",2018-07-10,20.2666666666667,17.8633333333333,-28.0666666666667,-0.166666666666667,0.903333333333333
"212","HARV_005-M","D01","HARV_005",2018-07-11,18.5333333333333,3.19666666666667,-27.2666666666667,6.4,0.17
"213","HARV_005-O","D01","HARV_005",2018-07-11,24.2,23.35,-28.7,0.075,0.975
"214","HARV_010-M","D01","HARV_010",2014-07-15,25.6666666666667,3.42666666666667,-27.1333333333333,3.36666666666667,0.133333333333333
"215","HARV_010-O","D01","HARV_010",2014-07-15,25.7333333333333,30.6766666666667,-28.3,-1.5,1.19333333333333
"216","HARV_013-M","D01","HARV_013",2014-07-16,17.1,3.34,-25.8,4.7,0.19
"217","HARV_013-M","D01","HARV_013",2014-07-17,17.8,1.845,-24.95,6.15,0.105
"218","HARV_013-M","D01","HARV_013",2018-07-12,16.7333333333333,2.55666666666667,-25.3,5.26666666666667,0.153333333333333
"219","HARV_013-O","D01","HARV_013",2014-07-17,21.7,12.805,-26.75,2.05,0.575
"220","HARV_013-O","D01","HARV_013",2018-07-12,22.1666666666667,21.5433333333333,-27.5333333333333,0.466666666666667,0.986666666666667
"221","HARV_016-M","D01","HARV_016",2014-07-15,15.9,5.37,-27.7333333333333,4.93333333333333,0.346666666666667
"222","HARV_016-O","D01","HARV_016",2014-07-15,23.3333333333333,39.8866666666667,-28.8,0.433333333333333,1.70666666666667
"223","HARV_021-M","D01","HARV_021",2014-07-17,27.4,8.19,-27.4,2.43333333333333,0.3
"224","HARV_021-M","D01","HARV_021",2018-07-12,25.7,5.7825,-27.3,1.875,0.225
