"","verticalPosition","VSWC_ann_mean","VSWC_ann_var","VSWC_max","VSWC_min","VSWC_median","VSWC_range","VSIC_ann_mean","VSIC_ann_var","VSIC_max","VSIC_min","VSIC_median","VSIC_range","days","siteID","horizon"
"1","501",0.176728152279333,0.077729577501053,0.368024479166667,0.0579822916666667,0.164015625,0.3100421875,1835.1231275687,325.996720599473,3417.77317083333,1451.30352083333,1727.99691336297,1966.46965,334,"OAES","O"
"2","502",0.207711926146512,0.0599324508133848,0.37951801242236,0.123822239583333,0.206092395833333,0.255695772839027,1402.18697812773,61.1006871559391,1638.014953125,1323.1333234375,1382.2913252769,314.8816296875,307,"OAES","M"
"3","503",0.109989130891743,0.0378477474287591,0.286448333333333,0.0613033333333333,0.108507256944444,0.225145,1337.32731365751,84.5706127439996,1828.51369102067,1140.04923138298,1323.72268169952,688.464459637693,349.5,"OAES","NA"
"4","504",0.105274850245327,0.0353717850146105,0.326250721667855,0.0654064244923858,0.0935966666666667,0.260844297175469,2047.23635258547,150.774570170926,2464.62785160664,1605.15695276361,2035.88520732668,859.470898843033,349.5,"OAES","NA"
"5","501",0.0978262585854908,0.0713815284893601,0.318418005952381,0.00772104166666667,0.0805077766719745,0.310696964285714,2415.8759696133,669.623069906431,4066.92591311275,1395.06024322917,2270.95504541056,2671.86566988358,291,"CPER","O"
"6","502",0.145129233999176,0.0569095563352344,0.286230833333333,0.0626,0.132742708333333,0.223630833333333,1992.48894636257,296.575896221204,2789.02314583333,1574.1231875,1913.45662631899,1214.89995833333,318,"CPER","M"
"7","503",0.176276940051676,0.0588898659876923,0.322321354166667,0.0987111111111111,0.149639322916667,0.223610243055556,1783.98950237384,136.162797950768,2583.40415384615,1572.10764171123,1757.51481994048,1011.29651213492,318,"CPER","NA"
"8","504",0.197439015320416,0.0628379698977625,0.34598265625,0.0793724719101124,0.2079484375,0.266610184339888,1842.73533860893,131.604681913915,2182.97214592571,1503.29968958333,1824.81347708333,679.672456342374,292.5,"CPER","NA"
"9","505",0.154313191669875,0.0391108474332647,0.24324609375,0.0902191666666667,0.154610449636968,0.153026927083333,1886.76795664189,213.573640852569,2356.85937082691,1592.81474144657,1851.84045496942,764.044629380348,342.5,"CPER","NA"
"10","506",0.163434881997265,0.0458760505889046,0.237408530701754,0.108789166666667,0.136678385416667,0.128619364035088,1589.65353859743,57.1805682545268,1753.01808267405,1448.71207787698,1571.32650052477,304.306004797066,342.5,"CPER","NA"
"11","507",0.196042621086046,0.0259157215825815,0.2519375,0.143725260416667,0.1891375,0.108212239583333,1691.08304253927,119.467436499586,1925.38589479167,1509.32356770833,1685.08595451389,416.062327083333,342.5,"CPER","NA"
