"","soilID","AGS_marker","GC_marker","Coding_density_marker","num_taxa_marker"
"1","ABBY_006-M",5956481.04660653,0.634750584787006,0.874744597450448,193
"2","ABBY_006-O",6332661.97207799,0.635926892300293,0.874329401176802,237.333333333333
"3","ABBY_061-M",6162363.78554539,0.635883382558644,0.874205940965399,200.666666666667
"4","ABBY_062-M",6135239.22054824,0.638863955580575,0.874928172259113,177
"5","ABBY_063-M",6397811.47593524,0.641251688192832,0.873819627452511,156.4
"6","BARR_002-O",5725453.31647254,0.642432237234023,0.87992942997842,97
"7","BART_001-O",6194156.75822996,0.629715452414146,0.871735259965214,95.6
"8","BART_004-O",6343688.38590092,0.632356244648031,0.872278021926408,156
"9","BART_023-O",6311875.76752099,0.632501176182598,0.872319359651643,154.8
"10","BLAN_001-M",5365353.34667466,0.609363322387004,0.877185561084166,138.8
"11","BLAN_002-M",5319144.12591141,0.621940624027056,0.879966463539953,116.75
"12","BLAN_003-M",5901218.2830145,0.627491815096922,0.876363500964291,111
"13","BLAN_004-M",5371597.77838492,0.61522391797833,0.877943385172249,136.2
"14","BLAN_005-M",5662805.46859877,0.625146931703017,0.877158491853865,182
"15","BLAN_007-M",5114780.60746302,0.632556170899182,0.877378290950074,112.8
"16","BLAN_031-M",4851143.29411462,0.618076107995487,0.881640738379902,140.25
"17","BLAN_032-M",5493494.7205857,0.618518614646823,0.881155243032093,218
"18","BLAN_033-M",5383818.42584248,0.61983541525732,0.880139029209046,136
"19","BLAN_038-M",5201321.85128962,0.617835319014773,0.881345430222565,127
"20","BONA_006-O",6172016.15661875,0.61535611191123,0.876178967147848,156
"21","BONA_013-O",6213379.06313037,0.604718026050614,0.874147456498405,128
"22","BONA_071-O",6177399.05327144,0.624650572196903,0.873287890916423,192
"23","CLBJ_031-M",6143063.94116002,0.637752660755732,0.878052196434985,183.6
"24","CLBJ_032-M",6154356.60754708,0.633302469568755,0.878131793600087,95.75
"25","CLBJ_033-M",5678561.29989062,0.616103161811535,0.874342366405637,190
"26","CLBJ_033-O",5795198.3140873,0.61443344965852,0.879218028331038,308
"27","CLBJ_034-M",5046686.79554706,0.610460087479619,0.878203678775722,141.75
"28","CLBJ_034-O",5924348.22896552,0.630136147270361,0.87786406664584,234
"29","CLBJ_038-M",5984928.39700787,0.634322769224355,0.878300788159088,143.666666666667
"30","CLBJ_038-O",5077555.62195655,0.612495862638648,0.886214040718337,184
"31","CPER_001-M",5571563.00566159,0.634407286640136,0.882593175449558,132.5
"32","CPER_002-M",5701528.73184893,0.617321942757762,0.879028527862133,92.8
"33","CPER_003-M",5699117.22293773,0.618816051826901,0.876259139377625,128.25
"34","CPER_004-M",5851010.77460305,0.63725409325212,0.882124330878415,126.8
"35","CPER_005-M",5576990.50409812,0.632561200221349,0.881354949562005,177
"36","CPER_006-M",5922819.52836045,0.636568225236376,0.879877993309002,143
"37","CPER_045-M",6257373.36554558,0.642799114898046,0.87667969437725,173.6
"38","CPER_047-M",5756557.81231958,0.655608139752345,0.876540461033421,122
"39","CPER_048-M",6174694.44029344,0.635209152769098,0.877328252955535,159.6
"40","DEJU_002-M",5473214.87744593,0.624818968274401,0.885967581780634,87
"41","DEJU_002-O",5823746.58722834,0.619667336428772,0.879834785270849,109.25
"42","DEJU_006-M",6220959.78793288,0.630934761204431,0.873188026898804,83
"43","DEJU_006-O",6484663.99490883,0.628843654788438,0.872456348113295,106
"44","DEJU_014-O",6046217.87759647,0.619753891123542,0.877132238412992,127.75
"45","DEJU_015-M",5618927.39517785,0.618844152481446,0.876464982102679,88.5
"46","DEJU_015-O",6247474.30312829,0.626784703644794,0.871051415269449,87.3333333333333
"47","DEJU_046-M",5849007.39649343,0.628237997212679,0.875525555151875,210
"48","DEJU_046-O",6080233.12842877,0.611788506524606,0.872946314424456,288
