plotID,horizon,sandTotal,siltTotal,clayTotal,bulkDensThirdBar,bulkDensOvenDry,waterRetentionThirdBar,caco3Conc,gypsumConc,phCacl2,phH2o,bSatx,brSatx,caSatx,clSatx,co3Satx,ecSatp,flSatx,waterSatx,hco3Sx,kSatx,mgSatx,naSatx,no2Satx,no3Satx,pSatx,phSp,so4Satx,alKcl,feKcl,mnKcl,alSatCecd33,carbonTot,nitrogenTot,ctonRatio,estimatedOC,alOxalate,feOxalate,mnOxalate,pOxalate,siOxalate
OAES_003,M,26,57,17,1.3,1.44,22.4,40,0,7.6,7.9,NaN,0,10.4,0.4,0,1.38,0,52.8,7.1,0,3.1,0,0,4.8,0,7.5,0.4,NaN,NaN,NaN,NaN,23.5,2.5,8,19,0.13,0,276.3,265.6,0.03
OAES_004,M,10.7,55.3,34,1.285,1.4300000000000002,25.1,60,0,7.5,7.85,NaN,0,6.7,0.5,0,1.095,0,63.599999999999994,6.95,0.6,4.85,0,0,0.1,0,7.4,0.85,NaN,NaN,NaN,NaN,26.65,2.3,8.5,20,0.06,0,404.1,351.75,0.03
OAES_005,M,22.433333333333334,51.733333333333334,25.833333333333332,1.36,1.5,14.766666666666666,3.3333333333333335,NaN,7.5,8.133333333333333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.233333333333334,1.1666666666666667,14,18.666666666666668,0.13333333333333333,0.013333333333333334,340.7,195.7,0.03
OAES_007,M,15.05,65.25,19.700000000000003,1.36,1.42,18.6,220,NaN,7.75,8.3,NaN,0,5.449999999999999,1.15,0,0.745,0,49.95,4.7,0.1,1.9,0,0.05,0.4,0,7.75,0.35,NaN,NaN,NaN,NaN,37.4,1.2000000000000002,9,11,0.065,0,226.8,552.5,0.02
OAES_010,M,9.649999999999999,69.25,21.1,1.3650000000000002,1.49,19.4,135,NaN,7.6,8.100000000000001,NaN,0,5.2,0.3,0,0.78,0,60.3,7.3,0.5,3.4,0,0.1,0,0,7.6,0.3,NaN,NaN,NaN,NaN,28.85,1.55,8,12.5,0.07,0,323.20000000000005,283.4,0.02
OAES_012,M,16.65,67.15,16.2,NaN,NaN,NaN,205,0,7.65,8,NaN,0,9.6,0.4,0,1.2349999999999999,0,51.2,5.25,0.39999999999999997,3.05,0,1,3.9,0,7.65,0.8500000000000001,NaN,NaN,NaN,NaN,39,1.9000000000000001,7.5,14,0.05,0,192.05,453.05,0.015
OAES_014,M,13.5,71.1,15.4,1.275,1.37,21.9,125,NaN,7.75,8.2,NaN,0,4.5,0.4,0,0.71,0,58.8,6.5,0.4,2.6,0,0.2,0,0,7.7,0.3,NaN,NaN,NaN,NaN,30.3,1.9500000000000002,8,15.5,0.10500000000000001,0,258.25,375.35,0.03
OAES_015,M,17.25,67.25,15.5,1.28,1.35,21.549999999999997,145,NaN,7.699999999999999,8.25,NaN,0,5.5,0.8,0,0.74,0,47.2,5.2,0.2,1.7,0,0,0.1,0,7.8,0.4,NaN,NaN,NaN,NaN,27.45,1.35,8,10.5,0.07500000000000001,0,296.45,346.6,0.02
OAES_016,M,14.05,60.5,25.450000000000003,1.28,1.3599999999999999,26.75,35,NaN,7.45,7.85,NaN,0,5.4,0.35,0,0.915,0,57.150000000000006,4,0.25,3.5,0,0,1.95,0,7.6,0.95,NaN,NaN,NaN,NaN,23,2.35,8,19,0.11,0,436.5,309.05,0.035
OAES_019,M,26,58.25,15.75,1.12,1.24,24.5,155,NaN,7.699999999999999,8.15,NaN,0,6.4,0.3,0,0.93,0,54.9,4.4,0.2,2.5,0,0,2,0,7.7,0.6,NaN,NaN,NaN,NaN,38.6,2.3,9,20,0.11,0,241.7,619.2,0.025
