,ID,AGS,bp,Genomes,reads,GC,GC_bact,AA_CN
96,BMI_Plate69WellB1,7079364.86646,4225693524,596.902914839,2000000,0.6185876139486011,0.6319320569878007,3.5420589493231462
97,BMI_18S_05_0421,6840233.95159,4146121811,606.137427512,2000000,0.5881124895158252,0.5943379526885789,3.551992100794952
98,BMI_18S_05_0434,6571002.53493,6427137449,978.106067504,2000000,0.6162895626968468,0.6225021698318433,3.557988680858424
99,BMI_Plate67WellE3,6486227.79585,3518730423,542.492575616,2000000,0.6148541566814458,0.6165462773292202,3.536986142477637
100,BMI_Plate61WellG2,6609020.40894,3638624015,550.554210739,2000000,0.6252639584170593,0.6264883252509706,3.5325565685769407
101,BMI_Plate61WellF7,6171291.57432,2995472791,485.388310522,2000000,0.6398386403233316,0.6402131007224376,3.5094244239952745
103,BMI_Plate42WellC9,6950969.912819999,10971946627,1578.47707077,2000000,0.6128599951674997,0.6167655527500682,3.5472463839232016
104,BMI_Plate41WellG4,7386843.50575,37211260,5.03750485184,192819,0.5679076085364831,0.6103886995368111,3.3849029122386254
105,BMI_Plate41WellF1,7651071.0385300005,2749270408,359.331444468,2000000,0.5946125942924629,0.6223250097906584,3.5341214705604496
106,BMI_Plate42WellC1,6791704.37078,6017626966,886.026045523,2000000,0.6275435443595083,0.6357596208594455,3.497594240602351
107,BMI_Plate41WellF9,8696977.04778,301775204,34.6988617243,1513554,0.5294814771685772,0.6012177032018828,3.502542138980357
108,BMI_18S_05_0429,7015477.5542,4095151499,583.730967331,2000000,0.6017249768564348,0.6079684309572575,3.5520462977368297
109,BMI_Plate69WellG11,7354011.01583,4305325296,585.439059955,2000000,0.572347549990657,0.6151497368463085,3.526633004224504
110,BMI_Plate19WellE12_mms,7187956.7287,1046401661,145.577067377,2000000,0.6090187805430693,0.6159465006860136,3.505481837388557
111,BMI_Plate35WellE6,6903473.7655,1825050394,264.366963067,2000000,0.6392588079871149,0.6435033755859736,3.52675736876122
112,BMI_Plate72WellA3,6812718.48282,3965491127,582.071773111,2000000,0.6138744387140461,0.6261339807711134,3.5341611574861687
113,BMI_Plate2WellD5_mms,7115988.150760001,1974860794,277.524463526,2000000,0.6600892858669684,0.6626326608602328,3.5107761055632287
114,BMI_Plate42WellE5,6715953.21351,3533588867,526.148523473,2000000,0.5985554163652164,0.6044420378121205,3.5433433723263668
115,BMI_Plate19WellF2_mms,6579297.5357800005,1971258024,299.615272494,2000000,0.6483962847910956,0.6551448394416736,3.5099064066022314
116,BMI_18S_05_0458,7203787.09253,2647323150,367.490476328,2000000,0.6033428820825685,0.6097040386314164,3.5552167326737987
117,BMI_Plate61WellH5,6239465.08037,3913728984,627.253928596,2000000,0.6160482466901672,0.6385617892229803,3.5366951561890243
118,BMI_Plate88WellE9,7377154.322360001,2006279795,271.958496099,2000000,0.6555651985651217,0.6612315838425197,3.5002008923490213
119,BMI_Plate81WellF2,5935330.89292,2697986493,454.563787879,2000000,0.6281129675948447,0.6314290093371198,3.529229950922689
120,BMI_Plate35WellC2,5859409.11956,1306920040,223.046388012,2000000,0.692556215460131,0.7010731193583782,3.466237845299232
121,BMI_Plate72WellF2,6430593.36401,4179963504,650.012101122,2000000,0.6380486678831463,0.6408491321142284,3.5210350139532327
122,BMI_Plate2WellA6_mms,6231681.62436,1136306802,182.343526274,2000000,0.6263190886291129,0.6380855957730881,3.5504628660487696
123,BMI_Plate19WellC1_mms,7979413.25117,2126167345,266.456602519,2000000,0.632771261489653,0.6413711032833421,3.5283435923593025
124,BMI_Plate41WellA7,6724779.91609,2885647688,429.106636054,2000000,0.5624215161866329,0.6470638034705983,3.5157945245119384
125,BMI_Plate19WellE2_mms,6043198.48172,1125925377,186.312824311,2000000,0.7205283853059488,0.7194895881177691,3.435840425575411
126,BMI_Plate1WellC2_mms,7430978.59442,1652233002,222.343932364,2000000,0.5944200071384018,0.6029296555695022,3.563912651406095
127,BMI_Plate2WellG8_mms,6203995.25559,2621987355,422.628845926,2000000,0.6913333832169591,0.6920651287235957,3.4710404684761555
128,BMI_Plate8WellB9_mms,8074810.21612,2140724561,265.111439613,2000000,0.6132057540348705,0.6145012291449659,3.52760231763655
129,BMI_Plate88WellE6,6361546.73223,2269445488,356.744292469,2000000,0.6395807727814664,0.6452023204673384,3.5422158633397918
130,BMI_Plate41WellF6,9283930.05703,2076816435,223.700138007,2000000,0.5998960301802979,0.6083196401725272,3.5286196880360876
131,BMI_Plate41WellG3,7969610.67648,2135424293,267.945873354,2000000,0.616397726062402,0.6315664371844377,3.5312200378927736
132,BMI_Plate81WellH7,6175961.17071,4575129689,740.796381735,2000000,0.6252767305399652,0.6343543829366838,3.5286139122962212
133,BMI_Plate67WellE4,8037408.30854,2856838523,355.442751361,2000000,0.634191311713052,0.6390675220854675,3.4919101924207485
134,BMI_Plate71WellF10,5350719.94761,3194916960,597.100388599,2000000,0.6456954134823777,0.6679966110488986,3.5172963339739205
135,BMI_18S_05_0433,6295432.92242,3444078838,547.075773889,2000000,0.6247764401809504,0.6274331389056674,3.5226047169763217
136,BMI_18S_05_0426,6703739.62268,4137286819,617.161025318,2000000,0.6077833522693172,0.6099829739352765,3.5411379800974534
137,BMI_Plate71WellB11,7065169.642260001,2711027944,383.717317669,2000000,0.6537084974395856,0.6558378388332802,3.5159810749853744
138,BMI_Plate71WellE1,5281588.40211,1750800992,331.491373183,2000000,0.6402329308965183,0.6685966328433475,3.505248365899977
139,BMI_Plate71WellC12,7368708.770819999,4740346994,643.307686792,2000000,0.6484165574918733,0.6508296386543617,3.5017751138053748
140,BMI_Plate72WellA4,7780815.9714399995,4057853089,521.52024979,2000000,0.6170847154093431,0.6262263105282785,3.540919533087129
141,BMI_Plate35WellE1,5690717.62832,1284382771,225.69785656,2000000,0.6908896640005933,0.7024570691461377,3.4633730413042567
142,BMI_Plate41WellF11,8098476.43083,1647153477,203.390537846,2000000,0.5644016319111943,0.6178120799647636,3.5476289499931415
143,BMI_Plate88WellE10,6962056.100160001,2142785945,307.78062029,2000000,0.6456219292041706,0.6479861539035978,3.522485790011465
144,BMI_Plate41WellB10,6031644.173669999,6974453128,1156.31043994,2000000,0.6688246940119986,0.6769558816988152,3.491719549115045
145,BMI_Plate19WellD2_mms,7061454.849289999,1620137320,229.433927509,2000000,0.6244569228246463,0.6260887920717645,3.4692084645215764
146,BMI_Plate68WellD6,7265866.631910001,2590715061,356.559677221,2000000,0.6008781623936058,0.6040398861596801,3.5313554755789194
147,BMI_Plate68WellE3,5889024.05269,5355855938,909.464096272,2000000,0.6868560532347039,0.6951816111938144,3.4824484680939003
148,BMI_Plate61WellF8,5338312.17515,2612604716,489.406507203,2000000,0.6120808540859369,0.6218611086179022,3.5606344467946767
149,BMI_Plate81WellF5,7231288.902160001,3081211037,426.094307486,2000000,0.5990341282771929,0.6232837517593279,3.5331356351245224
150,BMI_Plate35WellC5,6966430.044710001,2061887818,295.974811312,2000000,0.6254189911316771,0.6304890091264909,3.5115433557991187
151,BMI_Plate19WellG1,7142194.37092,1414593809,198.061511005,2000000,0.6189520021256298,0.6216654688056816,3.5443724680683433
152,BMI_Plate42WellD7,7112118.6621,7099356655,998.205596994,2000000,0.6246299326936142,0.6310112341813291,3.5166884419217004
153,BMI_Plate42WellC7,7067782.36025,7363909475,1041.89816546,2000000,0.6078319678194988,0.6117968431018831,3.5310034837150415
154,BMI_Plate19WellD1_mms,8223690.84882,2280659441,277.327964162,2000000,0.6208151224860654,0.6230692005729848,3.4718327983499666
155,BMI_Plate8WellE4_mms,7277520.2561,2982721722,409.854128472,2000000,0.6413267777385561,0.6437576471049307,3.517352249454972
156,BMI_Plate61WellF9,5763920.3291,4650328927,806.799653965,2000000,0.632390255002092,0.6339603206585699,3.5144858174814866
157,BMI_Plate68WellE2,5971654.35111,2706719968,453.261325732,2000000,0.6645295763247387,0.6831390428217681,3.5094762084693274
158,BMI_Plate41WellC12,7031786.14651,4672851068,664.5325911,2000000,0.5980431891590187,0.6029130482206586,3.534880404546189
159,BMI_Plate41WellB11,6347134.576330001,6930846645,1091.96465927,2000000,0.6511351945673399,0.6560402360619139,3.5299635124019986
161,BMI_Plate41WellF10,8619729.134510001,869879540,100.917270882,2000000,0.529690342533799,0.6110058811050636,3.5137606844275022
162,BMI_Plate68WellC6,6349617.607919999,2645471424,416.634762493,2000000,0.6462131798612916,0.649765132670073,3.5178985268122025
163,BMI_Plate69WellH11,7194555.43376,3666487013,509.61967654,2000000,0.6214673939677683,0.6306796471401059,3.5239427959246363
164,BMI_Plate61WellH3,7221129.99324,3012797957,417.219737052,2000000,0.6157082876328239,0.629595656586363,3.5569379307860007
165,BMI_Plate61WellG10,6509125.70624,3052804338,469.003745783,2000000,0.6339910401582871,0.6347003803059578,3.5160683871223597
166,BMI_Plate41WellH5,6259600.19162,6118388715,977.44081534,2000000,0.6513877034419727,0.6632266188950219,3.5019161832470966
167,BMI_Plate72WellF4,7892046.35068,3705359097,469.505491016,2000000,0.6389967704522693,0.6510726388607183,3.525470793927245
168,BMI_Plate72WellG1,6540217.19329,4500884501,688.185784658,2000000,0.6457036163225875,0.6467699700426975,3.511416690524962
169,BMI_Plate71WellB1,7588828.990510001,5152674545,678.981507087,2000000,0.663251448622002,0.6653287388067778,3.4853431858663377
170,BMI_Plate19WellC10_mms,7745887.25433,1630501827,210.499039486,2000000,0.5981803362765229,0.6099183589825131,3.5355512610410784
171,BMI_Plate19WellE1_mms,6275109.43459,419042227,66.7784731674,2000000,0.6232284135976689,0.6246781651606647,3.5200519427460004
172,BMI_Plate10WellB9_mms,6463481.41105,1725355337,266.939011235,2000000,0.6903659764069064,0.6915640535336831,3.5102187066851296
173,BMI_Plate88WellB6,5333222.46139,3190859724,598.298635975,2000000,0.6402632927290157,0.6647064765531672,3.5083656258554448
174,BMI_Plate71WellG12,5449064.51049,3143959037,576.972254769,2000000,0.643540560421588,0.660027633838525,3.5195872648594486
176,BMI_18S_05_0427,7200890.35097,6122069015,850.182229781,2000000,0.6089328108288625,0.6143800191730052,3.5473576790740955
177,BMI_Plate42WellC11,6894182.06683,9110869389,1321.53013957,2000000,0.5955352228182154,0.6119912131591977,3.555966392320004
178,BMI_Plate41WellG2,8125044.5091699995,1308195728,161.007822975,2000000,0.5739202744093403,0.5890130007513835,3.5423012687297817
179,BMI_Plate41WellF7,8686150.97951,2364554791,272.221240061,2000000,0.5697302428477514,0.5977211697204747,3.5368778210915868
180,BMI_Plate19WellE11_mms,7112893.54044,749205182,105.330577175,2000000,0.6131817893026663,0.6188190112251434,3.5055415568139843
181,BMI_Plate72WellA2,4896233.34453,2720409115,555.612635994,2000000,0.6351005409391274,0.6576045748662527,3.5114832578842012
182,BMI_Plate81WellA2,5790019.58916,3409721363,588.89634318,2000000,0.6694374798525871,0.6789812013303569,3.4889913294642962
183,BMI_18S_05_0377,6766115.82377,3295506397,487.060299119,2000000,0.5978158762033844,0.6002321553001561,3.5573517802414343
184,BMI_Plate69WellC11,6907267.2296,4953611204,717.159339481,2000000,0.6372351867534962,0.6450072159152394,3.517722546247418
185,BMI_18S_05_0428,6487376.20262,6498030372,1001.64229252,2000000,0.6128226918879647,0.6154794677278936,3.5384104913141403
186,BMI_Plate20WellA10,6397896.2292,2733199472,427.202845136,2000000,0.620993608185917,0.6298700068038054,3.531576914973699
187,BMI_Plate68WellE5,6850038.97669,2462174942,359.439552151,2000000,0.6554495145840007,0.6617549020758716,3.5229334862732786
188,BMI_Plate41WellF8,7870853.520389999,1582218861,201.022526579,2000000,0.6010114396520023,0.6259234744022187,3.5274222909437003
189,BMI_Plate72WellF3,7019772.074080001,2606955218,371.37319994,2000000,0.6232318913681498,0.6331431156601588,3.5062055503359435
190,BMI_Plate19WellF1_mms,6539228.49582,1869209936,285.845637172,2000000,0.6854327290820649,0.6866507350670995,3.492874493549336
191,BMI_Plate41WellA9,6281408.708319999,3930257276,625.696791676,2000000,0.6965749293887891,0.6996452200560883,3.4518410003834106
193,BMI_Plate67WellB3,7144985.681810001,2758242981,386.038979479,2000000,0.6168272377751037,0.6196697416798961,3.5310045201579987
194,BMI_Plate69WellE1,7342161.96408,7076392608,963.80230273,2000000,0.6284271457590254,0.6358950218447242,3.532864480419297
195,BMI_Plate72WellH1,6815446.797,5357799126,786.125882217,2000000,0.6355688353833737,0.6502154458126729,3.496035877015433
196,BMI_Plate81WellH1,7076167.5265,3290880072,465.065313911,2000000,0.6004732235128011,0.6223474964394768,3.5403784440999124
197,BMI_Plate41WellG5,6994037.55947,326858258,46.7338436805,1500658,0.5614462374438303,0.6491907277220639,3.530984675495177
198,BMI_Plate42WellC8,7403550.07201,5801403542,783.597528965,2000000,0.5971780786499348,0.5998811682100897,3.5467346951318497
199,BMI_Plate61WellF6,5793763.210940001,2796469356,482.668906924,2000000,0.6199395501149977,0.6208088506111452,3.530896160424754
200,BMI_Plate61WellG3,6611692.68971,4346522599,657.39936851,2000000,0.6188676889665516,0.6245649430768494,3.5202530295934733
201,BMI_Plate67WellE2,7148113.16149,3339198367,467.1440269,2000000,0.6265135074669554,0.6298122219798017,3.51783245643786
202,BMI_18S_05_0420,7270192.97442,3833344418,527.268592662,2000000,0.6132357885379729,0.6179736356579493,3.5218062105600088
203,BMI_Plate68WellG4,7963134.1755,1712566654,215.061885968,2000000,0.5860182960629098,0.5999168423812704,3.5590487289575297
204,BMI_Plate88WellH6,6614080.69883,2934933076,443.740137086,2000000,0.6803867094045427,0.6841816148925035,3.4815516897600984
205,BMI_Plate41WellD9,7863044.86141,2471502830,314.318800613,2000000,0.6072254999468466,0.6194042350367872,3.544408598277068
206,BMI_Plate19WellC11_mms,7532518.372260001,2125398044,282.163008301,2000000,0.6264401476176534,0.6326429379884786,3.4597159062004534
207,BMI_Plate72WellC3,6678958.91541,3188343363,477.371309418,2000000,0.6724085314293105,0.6745455651132786,3.488472176579064
208,BMI_Plate35WellG6,8074585.960080001,719128004,89.0606660893,2000000,0.551093343344718,0.5822724759699875,3.5545650751153968
209,BMI_Plate35WellF3,7371427.48018,1246659720,169.120529687,2000000,0.6612539071642259,0.6634570698463952,3.4909011912765955
210,BMI_Plate28WellG8,6832041.69788,3200803032,468.498755357,2000000,0.6147219512648002,0.6185569382338315,3.5271400450349883
211,BMI_Plate28WellH7,6280080.86145,1176865425,187.396540103,2000000,0.6462135738405179,0.6522630031054573,3.529801771950764
212,BMI_Plate41WellC8,6136856.18294,4442729001,723.942173087,2000000,0.6579869959909843,0.6709327480576432,3.483533164568154
213,BMI_Plate72WellD2,6710939.29421,3845257981,572.983573897,2000000,0.6324446388472931,0.6447006298407671,3.520197822752805
214,BMI_Plate81WellD2,7783158.76519,2413412012,310.081303081,2000000,0.6195942265607739,0.6232785462391343,3.518157375635513
215,BMI_Plate71WellA11,6826628.88109,3186265357,466.740672813,2000000,0.6270197381304017,0.6295540774133715,3.540487577604024
216,BMI_Plate68WellH3,6488019.43088,2111807845,325.493452586,2000000,0.6858465563973516,0.6920263031825437,3.4798002630350617
218,BMI_Plate88WellC12,7489100.96648,2744245772,366.431936795,2000000,0.6099294721371369,0.6126829220202317,3.5286437155662584
219,BMI_Plate35WellH1,5884249.079969999,538157743,91.4573356237,2000000,0.6756064548309598,0.684316173506014,3.4933114894762443
220,BMI_Plate41WellE11,7866768.8614,887205089,112.77884283,2000000,0.580132534411955,0.5839824541041623,3.549162067529364
221,BMI_18S_05_0470,5764687.48904,3353396471,581.713488784,2000000,0.6766853295671637,0.6845864658121175,3.4918764241398774
