"","plotID","horizon","year","collectDate","mean_pH_CaCl","mean_pH_water","sd_pH_CaCl","sd_pH_water"
"5120","STER_006","M",2018,2018-10-22,6.13,6.96666666666667,0.259807621135332,0.202072594216369
"5121","STER_006","M",2019,2019-04-22,5.98,6.76,0.219317121994613,0.192873015219859
"5122","STER_006","M",2019,2019-07-15,5.71333333333333,6.84333333333333,0.167729941672122,0.0472581562625261
"5123","STER_006","M",2019,2019-10-21,6.35666666666667,7.18666666666667,0.704012310498427,0.573962832710737
"5124","STER_006","M",2020,2020-10-20,6.24,7.03,0.04,0.125299640861417
"5125","STER_007","M",2014,2014-07-24,6.15666666666667,6.9,0.275015151097777,0.206639783197718
"5126","STER_010","M",2016,2016-11-29,7.15666666666667,8.01333333333333,0.453468117218105,0.21221058723196
"5127","STER_010","M",2017,2017-04-11,6.84,7.82666666666667,0.588132638101304,0.714726054746385
"5128","STER_010","M",2017,2017-06-06,6.96,7.81333333333333,0.626498204307083,0.750755175362337
"5129","STER_010","M",2017,2017-10-25,7.36666666666667,8.16333333333333,0.469183688264344,0.497024479611752
"5130","STER_010","M",2018,2018-04-23,6.76666666666667,7.60333333333333,0.790969868789787,0.699237680144122
"5131","STER_010","M",2018,2018-07-18,6.8,7.53666666666667,0.763151361133556,1.09203174557031
"5132","STER_010","M",2018,2018-10-23,7.08,7.74666666666667,0.568242905807015,0.446579593503032
"5133","STER_010","M",2019,2019-04-23,6.90333333333333,7.67666666666667,0.651638959342774,0.642598889925382
"5134","STER_010","M",2019,2019-07-15,7.17,8.24333333333333,0.686075797561756,0.777774603168124
"5135","STER_010","M",2019,2019-10-21,7.26,8.11666666666667,0.478434948556228,0.43890014050275
"5136","STER_010","M",2020,2020-06-16,7.28666666666667,7.77,0.568711995067216,0.554616984954482
"5137","STER_010","M",2020,2020-10-20,7.31,7.87666666666667,0.632376470150495,0.55247926054589
"5138","STER_011","M",2016,2016-11-29,6.5,6.95333333333333,0.141067359796659,0.89628864398325
"5139","STER_011","M",2017,2017-04-11,6.25,7.12333333333333,0.272213151776324,0.300055550412475
"5140","STER_011","M",2017,2017-06-06,6.48666666666667,7.38666666666667,0.790969868789787,0.70059498523279
"5141","STER_011","M",2017,2017-10-25,6.48333333333333,7.31,0.185831464863552,0.10816653826392
"5142","STER_011","M",2018,2018-04-23,6.56333333333333,7.41333333333333,0.1955334583475,0.21221058723196
"5143","STER_011","M",2018,2018-07-18,5.9,6.615,0.0707106781186551,0.176776695296637
"5144","STER_011","M",2018,2018-10-22,6.83666666666667,7.60333333333333,0.669427616201583,0.486449723335653
"5145","STER_011","M",2019,2019-04-23,6.44,7.23333333333333,0.372424488990722,0.344867124170068
"5146","STER_011","M",2019,2019-07-15,6.56,7.58666666666667,0.893140526457063,0.938846810365425
"5147","STER_011","M",2019,2019-10-21,6.31,7.10666666666667,0.21377558326432,0.0950438495292219
"5148","STER_011","M",2020,2020-06-16,6.69,7.17666666666667,0.45133136385587,0.393234450847498
"5149","STER_011","M",2020,2020-10-20,7.17,7.66,0.540647759636531,0.370405183549042
"5150","STER_012","M",2016,2016-11-29,6.75,6.89666666666667,0.430348695827,0.948700866097071
"5151","STER_012","M",2017,2017-04-10,6.60666666666667,7.39333333333333,0.255799400572662,0.194250697124446
"5152","STER_012","M",2017,2017-06-06,6.57333333333333,7.39666666666667,0.420990894596704,0.453578365151308
"5153","STER_012","M",2017,2017-10-25,6.43333333333333,7.31333333333333,0.0461880215351701,0.0208166599946614
