"","plotID","horizon","lipids_total","lipid_fungi_perc","lipid_gram_pos_perc","lipid_gram_neg_perc","lipid_FtoB"
"1","BONA_001","M",257.46,20.3666666666667,14.3433333333333,20.94,0.563333333333333
"2","BONA_001","O",1319.06666666667,29.4066666666667,12.0133333333333,18.3033333333333,0.948333333333333
"3","BONA_002","M",162.97,15.2433333333333,16.5766666666667,21.1566666666667,0.402
"4","BONA_002","O",1161.45333333333,20.7833333333333,13.2633333333333,22.0666666666667,0.580333333333333
"5","BONA_004","M",117.41,18.8466666666667,15.32,18.16,0.551666666666667
"6","BONA_004","O",1561.96333333333,26.6233333333333,12.8133333333333,18.3366666666667,0.845333333333333
"7","BONA_006","M",435.43,20.7866666666667,13.5333333333333,20.4033333333333,0.607666666666667
"8","BONA_006","O",1685.60333333333,30.7933333333333,11.4866666666667,17.3433333333333,1.08066666666667
"9","BONA_009","M",339.9,13.8166666666667,16.5333333333333,21.0566666666667,0.360333333333333
"10","BONA_009","O",1814.03,28.3433333333333,12.1133333333333,17.1066666666667,0.945
"11","BONA_013","M",154.003333333333,18.2,16.08,19.8133333333333,0.506
"12","BONA_013","O",1135.92,29.8266666666667,12.2633333333333,17.2733333333333,1.005
"13","BONA_070","M",524.863333333333,12.2666666666667,17.2166666666667,20.1133333333333,0.327
"14","BONA_070","O",2305.17333333333,29.45,12.0566666666667,14.6033333333333,1.08166666666667
"15","BONA_071","M",128.52,14.33,17.16,20.65,0.377666666666667
"16","BONA_071","O",2022.73,32.5866666666667,11.2266666666667,13.2733333333333,1.388
"17","BONA_080","M",119.45,13.81,17.3966666666667,19.8166666666667,0.370666666666667
"18","BONA_080","O",1676.60333333333,32.6766666666667,11.2533333333333,13.7166666666667,1.31666666666667
"19","BONA_084","M",114.103333333333,19.6866666666667,14,18.6533333333333,0.586666666666667
"20","BONA_084","O",2650.21666666667,25.9666666666667,11.1166666666667,17.2433333333333,0.890666666666667
"21","CLBJ_001","M",35.8177777777778,13.0933333333333,23.3277777777778,15.5622222222222,0.335111111111111
"22","CLBJ_002","M",62.3766666666667,11.4677777777778,21.6155555555556,16.2733333333333,0.298333333333333
"23","CLBJ_003","M",41.9211111111111,11.0433333333333,21.4366666666667,15.9377777777778,0.293666666666667
"24","CLBJ_006","M",41.8122222222222,12.95,22.4633333333333,17.7611111111111,0.319555555555556
"25","CLBJ_031","M",35.1988888888889,16.6222222222222,21.3944444444444,13.7688888888889,0.469111111111111
"26","CLBJ_032","M",37.8833333333333,19.26,22.3255555555556,14.4877777777778,0.520888888888889
"27","CLBJ_033","M",47.9188888888889,11.9144444444444,20.2788888888889,16.4822222222222,0.316888888888889
"28","CLBJ_034","M",64.1677777777778,13.81,21.13,15.1644444444444,0.375
"29","CLBJ_038","M",53.2922222222222,11.7788888888889,22.2611111111111,17.1988888888889,0.293888888888889
"30","CLBJ_040","M",68.9433333333333,12.4211111111111,21.75,17.7155555555556,0.309111111111111
"31","DCFS_003","M",215.484444444444,9.54444444444444,21.0655555555556,21.9811111111111,0.219555555555556
"32","DCFS_004","M",126.652222222222,11.2033333333333,22.9622222222222,20.3977777777778,0.256222222222222
"33","DCFS_006","M",222.727777777778,7.78,25.3422222222222,21.8666666666667,0.164222222222222
"34","DCFS_007","M",216.758333333333,11.3283333333333,23.5933333333333,20.5883333333333,0.256
"35","DCFS_008","M",180.9175,10.93,23.245,20.96375,0.2455
"36","DCFS_009","M",82.8333333333333,13.0255555555556,20.0833333333333,19.08,0.337111111111111
"37","DCFS_062","M",247.331666666667,9.46666666666667,23.415,20.9833333333333,0.2115
"38","DCFS_063","M",190.034444444444,8.43666666666667,25.4177777777778,20.8011111111111,0.180777777777778
"39","DCFS_063","O",1674.26,10.46,18.64,21.35,0.258
"40","DCFS_065","M",165.793333333333,12.0855555555556,23.3755555555556,19.6022222222222,0.278333333333333
"41","DCFS_067","M",151.115714285714,11.62,23.5528571428571,20.7314285714286,0.259857142857143
"42","DEJU_001","M",349.193333333333,12.92,16.29,13.17,0.452333333333333
"43","DEJU_001","O",3236.91333333333,10.7533333333333,11.03,8.85333333333333,0.516666666666667
"44","DEJU_002","M",185.216666666667,12.9766666666667,9.78333333333333,11.7833333333333,0.547666666666667
"45","DEJU_002","O",3381.97666666667,12.6233333333333,10.7833333333333,9.08666666666667,0.595666666666667
"46","DEJU_006","M",598.813333333333,13.9166666666667,10.8266666666667,14.3466666666667,0.502
"47","DEJU_006","O",3391.54,15.5466666666667,12.34,9.07333333333333,0.686666666666667
"48","DEJU_009","M",434.676666666667,14.1933333333333,12.1333333333333,13.4433333333333,0.533
"49","DEJU_009","O",4954.91666666667,14.83,12.3966666666667,10.8533333333333,0.603666666666667
"50","DEJU_014","M",696.61,17.4466666666667,12.93,16.0666666666667,0.599333333333333
"51","DEJU_014","O",4127.11666666667,15.7966666666667,10.6166666666667,9.02333333333333,0.755666666666667
"52","DEJU_015","M",195.013333333333,12.4933333333333,12.81,13.86,0.439666666666667
"53","DEJU_015","O",3790.16333333333,14.12,11.14,10.2066666666667,0.636666666666667
"54","DEJU_045","M",254.83,19.1866666666667,11.8733333333333,13.3366666666667,0.782
"55","DEJU_045","O",3960.25,13.27,10.5633333333333,8.26333333333333,0.655
"56","DEJU_046","M",598.516666666667,16.3866666666667,10.3266666666667,14.2833333333333,0.648333333333333
"57","DEJU_046","O",3945.77333333333,15.4766666666667,10.4166666666667,8.29666666666667,0.758
"58","DEJU_047","M",351.613333333333,17.43,14.1366666666667,17.6366666666667,0.547666666666667
