"","siteID","horizon","mega_coarseFrag2To5","mega_coarseFrag5To20","mega_sandTotal","mega_siltTotal","mega_clayTotal","mega_carbonateClay","mega_clayFineContent","mega_siltFineContent","mega_siltCoarseContent","mega_sandVeryFineContent","mega_sandFineContent","mega_sandMediumContent","mega_sandCoarseContent","mega_sandVeryCoarseContent","mega_carbonTot","mega_nitrogenTot","mega_sulfurTot","mega_estimatedOC","mega_airDryOvenDry","mega_alMjelm","mega_caMjelm","mega_feMjelm","mega_kMjelm","mega_mgMjelm","mega_mnMjelm","mega_naMjelm","mega_pMjelm","mega_siMjelm","mega_srMjelm","mega_tiMjelm","mega_zrMjelm","mega_phCacl2","mega_phH2o","mega_ec12pre","mega_gypsumConc","mega_caco3Conc","mega_caNh4d","mega_kNh4d","mega_mgNh4d","mega_naNh4d","mega_cecdNh4","mega_alSatCecd33","mega_baseSumCecd10","mega_bsesatCecd10","mega_ececCecd33","mega_alKcl","mega_feKcl","mega_mnKcl","mega_bSatx","mega_brSatx","mega_caSatx","mega_clSatx","mega_co3Satx","mega_ecSatp","mega_flSatx","mega_waterSatx","mega_hco3Sx","mega_kSatx","mega_mgSatx","mega_naSatx","mega_no2Satx","mega_no3Satx","mega_pSatx","mega_phSp","mega_so4Satx","mega_cton"
"35","OAES","M",196.333333333333,459.333333333333,15.8333333333333,67.2,16.9666666666667,0,NA,41.4333333333333,25.7666666666667,4.83333333333333,2.1,2.5,4.33333333333333,2.06666666666667,38.8333333333333,1.63333333333333,0.333333333333333,15.6666666666667,1.02033333333333,60940,50336.3333333333,28963,23414.6666666667,20332,542.333333333333,10260,1274.33333333333,227389.333333333,167.666666666667,3712,139,7.66666666666667,8.23333333333333,0.413333333333333,NA,193.333333333333,47.3333333333333,0.366666666666667,8.1,0,16.3666666666667,NA,55.8,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.7755102040816
"36","ONAQ","M",2,1.33333333333333,50.4,37.6,12,1.8,NA,15.8333333333333,21.7666666666667,33.8666666666667,15.0666666666667,1.3,0.133333333333333,0.0333333333333333,20.6,0.8,0.0333333333333333,8,1.02166666666667,41823.6666666667,46683.3333333333,17259,16190.6666666667,8561,537,5147.66666666667,839,311388.333333333,211,2509.66666666667,113,7.86666666666667,8.43333333333333,0.206666666666667,NA,106.666666666667,49.2666666666667,1.56666666666667,2.83333333333333,0.0333333333333333,11.1333333333333,NA,53.7,100,NA,NA,NA,NA,NA,0,5.2,0.3,0,0.58,0,44.2,5,0.4,0.7,0,0.1,0,0,7.9,0.4,25.75
"37","ORNL","M",70.6666666666667,126.666666666667,26.8333333333333,56.7,16.4666666666667,NA,NA,42.3,14.4,6.9,11.1,5.63333333333333,2.36666666666667,0.833333333333333,16.6666666666667,1.03333333333333,0,16.6666666666667,1.00966666666667,23888,644.666666666667,12532.3333333333,4040,1086,795.666666666667,477,92.6666666666667,321428.333333333,20,5405.33333333333,223.333333333333,4.53333333333333,5.56666666666667,0.0633333333333333,NA,NA,1.26666666666667,0.133333333333333,0.3,0,6.03333333333333,59.3333333333333,1.7,20.3333333333333,2.93333333333333,1.23333333333333,NA,6.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.1290322580645
"38","ORNL","O",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,475.9,11.4,0.2,476,1.081,3453,11084,1518,1614,1147,1615,175,591,49195,43,539,14,4.7,5.3,1.5,NA,NA,41.5,2.3,9,0,73.1,0,52.8,72,52.9,0.1,NA,84.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.7456140350877
"39","OSBS","M",0,0,97.3,1.75,0.95,NA,NA,0.95,0.8,2.45,23.85,61.15,9.5,0.35,3.75,0.05,0.3,3.5,1.0015,3582.5,106.5,1237,111.5,66.5,20.5,162.5,30,421899,2.5,796.5,17.5,4.7,5.65,0.02,NA,NA,0,0,0,0,0.8,NA,0,2,NA,0.15,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75
"40","PUUM","M",284,126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,262.5,16.9,1.8,263,1.11,39268,31948,58976,1945,21737,959,6204,1422,91370,126,9505,77,4.7,5.5,0.6,0,NA,16.8,0.5,2.7,0.2,65.3,9,20.2,31,22.3,2.1,NA,234.1,NA,0,1,0.9,0,0.44,0.1,371.3,1,0.3,0.5,0.9,0,0,0,5.1,0.7,15.5325443786982
"41","PUUM","O",284,126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,262.5,16.9,1.8,263,1.11,39268,31948,58976,1945,21737,959,6204,1422,91370,126,9505,77,4.7,5.5,0.6,0,NA,16.8,0.5,2.7,0.2,65.3,9,20.2,31,22.3,2.1,NA,234.1,NA,0,1,0.9,0,0.44,0.1,371.3,1,0.3,0.5,0.9,0,0,0,5.1,0.7,15.5325443786982
"42","PUUM",NA,113,137,54.6,30,15.4,NA,NA,18.1,11.9,10.6,11.9,13.7,11.7,6.7,175.4,11.7,1.4,175,1.1,52298,32979,77292,2019,26609,1307,7036,1833,110258,130,13233,101,4.8,5.3,0.24,NA,NA,10.1,0.2,1.8,0.1,58.5,15,12.2,21,14.4,2.2,NA,14.9,NA,0,1.2,0.4,0,0.34,0,224.4,1.6,0.2,0.9,0.5,0,1.4,0,5.1,0.4,14.991452991453
"43","RMNP","M",144.5,55,71,18.8,10.2,NA,NA,10.05,8.75,3.8,7.25,16.85,25.3,17.8,110.25,5.6,0.65,110.5,1.024,58467.5,5719,12779,35866.5,2639,367.5,12647.5,580.5,287490.5,102.5,1935.5,91.5,5.1,6.05,0.16,NA,NA,14.45,0.6,2.9,0,22.2,NA,17.95,81.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.6875
"44","SCBI","M",88.6666666666667,185.333333333333,17,51.8,31.2,NA,NA,39.0333333333333,12.7666666666667,5.23333333333333,3.76666666666667,3.36666666666667,2.93333333333333,1.7,31.9666666666667,2.33333333333333,0.133333333333333,31.3333333333333,1.026,65440.6666666667,10911,116725,4609,2698.33333333333,1866.66666666667,981.333333333333,1043,225071.333333333,148.666666666667,22733.6666666667,222.666666666667,6.03333333333333,6.76666666666667,0.233333333333333,NA,0,11.9333333333333,0.433333333333333,2.13333333333333,0,15.1666666666667,NA,14.5,78,NA,0.4,NA,3.5,NA,0,3.63333333333333,0.433333333333333,0,0.603333333333333,0,65.2,4.13333333333333,0.6,1.53333333333333,0,0.1,0.0666666666666667,0,6.36666666666667,0.433333333333333,13.7
