"","ID","FtoB","GC_adj"
"1","BMI_18S_05_0377",0.0044279198512852,0.604603936588632
"2","BMI_18S_05_0382",0.00637339142823033,0.637497363848827
"3","BMI_18S_05_0385",0.00554820405203825,0.601814322152198
"4","BMI_18S_05_0391",0.0053196624956669,0.622620913872274
"5","BMI_18S_05_0399",0.0117422173806277,0.641009679748599
"6","BMI_18S_05_0405",0.00765320905613592,0.644799250076574
"7","BMI_18S_05_0419",0.00567925017438194,0.694778592499118
"8","BMI_18S_05_0420",0.00596764893936249,0.622339420500983
"9","BMI_18S_05_0421",0.0105158530449042,0.599834123762904
"10","BMI_18S_05_0423",0.00424894187560787,0.615462656819398
"11","BMI_18S_05_0426",0.00650488134721071,0.615292463527376
"12","BMI_18S_05_0427",0.0127000503760663,0.619132989367809
"13","BMI_18S_05_0428",0.00554881297199872,0.619864141641636
"14","BMI_18S_05_0429",0.0112149487106339,0.614789624033537
"15","BMI_18S_05_0430",0.0115936371376414,0.603517572806391
"16","BMI_18S_05_0433",0.0024654889419081,0.632315067387467
"17","BMI_18S_05_0458",0.00730197054817194,0.615380355260364
"18","BMI_18S_05_0460",0.0150951291048103,0.605698173339772
"19","BMI_18S_05_0462",0.0108231463843759,0.604414144690044
"20","BMI_18S_05_0466",0.0123066822861383,0.679957673140952
"21","BMI_18S_05_0467",0.00586856717545343,0.682447163953148
"22","BMI_18S_05_0469",0.00570435776471766,0.696301447206625
"23","BMI_18S_05_0470",0.00482972932649711,0.685798944146424
"24","BMI_Plate10WellA2",0.00569137627790448,0.706104230058252
"25","BMI_Plate10WellB9",0.00377222841224782,0.693521992760027
"26","BMI_Plate19WellB10",0.125848131479539,0.595617494800567
"27","BMI_Plate19WellB11",0.0018258083459188,0.617104651739111
"28","BMI_Plate19WellB12",0.00659423608324931,0.623107933715814
"29","BMI_Plate19WellB5",0.0301316576686587,0.659465292223941
"30","BMI_Plate19WellB9",0.0149994716852038,0.637362370277365
"31","BMI_Plate19WellC1",0.00649053456296912,0.646250925139684
"32","BMI_Plate19WellC10",0.0198539566561937,0.614703952294976
"33","BMI_Plate19WellC12",0.0434680668566418,0.611489979246599
"34","BMI_Plate19WellC4",0.0258541692133959,0.636408885586912
"35","BMI_Plate19WellC5",0.0284691722014009,0.614281966067358
"36","BMI_Plate19WellC7",0.00388631094801764,0.646364871790639
"37","BMI_Plate19WellC8",0.00632873969975555,0.617632286913788
"38","BMI_Plate19WellC9",0.0133773322781571,0.625595789951167
"39","BMI_Plate19WellD1",0.00427420943023713,0.627600096313383
"40","BMI_Plate19WellD12",0.00139203200875789,0.645326242252914
"41","BMI_Plate19WellD2",0.00236423759046635,0.62924445737358
"42","BMI_Plate19WellD3",0.00281440354327168,0.648094951441165
"43","BMI_Plate19WellD5",0.00468563577179373,0.663125548148102
"44","BMI_Plate19WellD9",0.00332907507983312,0.602663324522246
"45","BMI_Plate19WellE1",0.00148959723762022,0.626855407094987
"46","BMI_Plate19WellE10",0.00744527095645173,0.67794159837559
"47","BMI_Plate19WellF1",0.00596367605208577,0.688385742652459
"48","BMI_Plate19WellF3",0.00625669567584448,0.653359947931941
"49","BMI_Plate19WellG1",0.00623215525885589,0.626757264462167
"50","BMI_Plate19WellG2",0.00601649964513239,0.614912606727091
"51","BMI_Plate19WellG3",0.00740804855286526,0.634468760714755
"52","BMI_Plate1WellC10",0.00622930319324979,0.636347433472105
"53","BMI_Plate20WellA10",0.00651734038191132,0.633405191360633
"54","BMI_Plate20WellB1",0.00499105419485462,0.63682800267538
"55","BMI_Plate25WellH10",0.00541056819904765,0.699502663303705
"56","BMI_Plate25WellH11",0.0107545505343287,0.654349857917632
"57","BMI_Plate28WellF9",0.00279981204270127,0.614082849590798
"58","BMI_Plate28WellG1",0.0224936994113621,0.595231414166841
