"","siteID","plotID","root_d15N_m","root_d13C_m","root_NPerc","root_CPerc","root_CN","root_live_mass","root_dead_mass","root_liveC","root_liveN","root_d15N_m_Coarse","root_d15N_m_Fine","root_d13C_m_Coarse","root_d13C_m_Fine","root_NPerc_Coarse","root_NPerc_Fine","root_CPerc_Coarse","root_CPerc_Fine","root_CN_Coarse","root_CN_Fine","root_live_mass_Coarse","root_live_mass_Fine","root_dead_mass_Coarse","root_dead_mass_Fine","root_liveN_Coarse","root_liveN_Fine","root_liveC_Coarse","root_liveC_Fine"
"1","BART","BART_032",-0.290430622009569,-29.1416135034556,0.597448165869219,47.7501461988304,93.0490563530037,3.135,0.3875,1.4974525,0.018625,-0.75,0.21371237458194,-29.0666666666667,-29.2238294314381,0.4,0.814046822742475,47.1666666666667,48.3902173913043,121.183333333333,62.1860367892977,1.64,1.495,0.16,0.2275,0.00656,0.012065,0.774025,0.7234275
"2","BART","BART_033",-0.217417218543046,-28.0376821192053,0.837907284768212,48.9177218543046,69.518,3.14583333333333,0.167083333333333,1.5384275,0.0264141666666667,-1.15,0.381984334203655,-27.55,-28.3511314186249,0.5,1.05509138381201,47.8,49.6361183637946,96.65,52.0793733681462,1.23083333333333,1.915,0.045,0.122083333333333,0.00615416666666667,0.02026,0.587475,0.9509525
"3","BART","BART_034",-1.8355925842528,-27.9177812804924,0.675838775050664,49.5490730315995,84.1291676048938,3.70083333333333,1.05166666666667,1.82945416666667,0.02469,-2.03333333333333,-1.73041278601817,-27.6333333333333,-28.0690812923997,0.366666666666667,0.840289755087961,47.4666666666667,50.6567207082902,120.333333333333,64.8718983557549,1.285,2.41583333333333,0.55,0.501666666666667,0.0045,0.02019,0.607195,1.22225916666667
"4","BART","BART_036",-1.26684782608696,-28.6010869565217,0.876449275362319,50.2389492753623,61.8501811594203,1.84,0.807083333333333,0.921535,0.01592875,-2.6,-1.0275641025641,-27,-28.8884615384615,0.566666666666667,0.932051282051282,47.7666666666667,50.6826923076923,91.0333333333333,56.6121794871795,0.28,1.56,0.553333333333333,0.25375,0.00151,0.01441875,0.13735,0.784185
"5","BART","BART_037",-0.0671673968982544,-28.4460497948397,0.780457611794979,48.4404896028931,75.6758293344461,3.99416666666667,0.2919,1.93391083333333,0.03155,-0.15,-0.0294361777507845,-27.9,-28.6947818605122,0.45,0.930984917501771,47.25,48.9827715355805,115,57.7632098390525,1.25,2.74416666666667,0.0494,0.2425,0.0056325,0.0259175,0.5906625,1.34324833333333
"6","BART","BART_039",-0.449373063873728,-28.1274524266116,0.557781383684909,48.4863401681664,101.288567635344,5.64916666666667,1.0275,2.73816916666667,0.0314058333333333,-0.525,-0.363730732934885,-27.85,-28.4416483170808,0.35,0.793079584775087,47.325,49.8014784523435,131.375,67.217741428122,3,2.64916666666667,0.4975,0.53,0.010315,0.0210908333333333,1.4191025,1.31906666666667
"7","BART","BART_040",-0.633352160406665,-28.7868963569613,0.537192883366281,47.3984091123035,108.985211333898,5.90166666666667,1.265,2.80912333333333,0.0319083333333333,-1.45,0.676286764705882,-28.75,-28.8460661764706,0.35,0.837389705882353,46.85,48.2778799019608,134.45,68.1479289215686,3.635,2.26666666666667,0.8075,0.4575,0.013105,0.0188033333333333,1.713325,1.09579833333333
"8","BART","BART_041",-0.239147386461011,-28.3611225364182,0.664357326478149,48.9780077120823,83.1095972579263,3.24166666666667,0.89125,1.59431166666667,0.022175,-0.666666666666667,0.107204901504576,-28.3,-28.4106406080347,0.433333333333333,0.851520086862106,48.9666666666667,48.9871955948503,106.533333333333,64.1329920893439,1.45083333333333,1.79083333333333,0.5525,0.33875,0.00629083333333333,0.0158841666666667,0.710479166666667,0.8838325
"9","BART","BART_042",0.113393558523174,-27.6671772715371,0.741385179366326,47.2768394867766,73.7549227546478,3.1825,0.752083333333333,1.5056175,0.0228525,-0.25,0.477358490566038,-27.75,-27.5842243186583,0.5,0.983149895178197,46.35,48.2051362683438,89.75,57.7346960167715,1.5925,1.59,0.515833333333333,0.23625,0.007655,0.0151975,0.7401225,0.765495
"10","BART","BART_044",-1.04693500738552,-28.6829394387001,0.753914327917282,48.5415435745938,77.6176144756278,3.385,0.76,1.642235,0.02551625,-1.375,-0.881444444444444,-28.2,-28.9265555555556,0.4,0.932444444444444,46.625,49.5083333333333,118.525,56.9821111111111,1.135,2.25,0.47,0.29,0.00454,0.02097625,0.52811375,1.11412125
"11","BART","BART_046",-0.159996470795835,-28.3356184930298,0.653282159872949,48.9660578789483,97.303820363508,4.7225,1.38933333333333,2.3175675,0.031115,-0.6,0.295653735632184,-28.25,-28.4242816091954,0.35,0.967349137931035,48.35,49.6040229885057,132.75,60.5971623563218,2.4025,2.32,0.95,0.439333333333333,0.00855,0.022565,1.1665525,1.151015
"12","BART","BART_047",-0.562228105007721,-28.6425501875138,0.565179792631811,48.2799669093316,106.529311714097,6.29583333333333,1.0975,3.0373025,0.0366175,-1.13333333333333,0.107592752372735,-28.4666666666667,-28.848835202761,0.333333333333333,0.837100949094047,47.4,49.3120362381363,142.7,64.1065142364107,3.39833333333333,2.8975,0.4975,0.6,0.012135,0.0244825,1.61081,1.4264925
"13","BART","BART_050",-0.133296315651947,-27.8864667711872,0.651062625206863,48.5628973956972,91.5743119066283,3.18916666666667,1.095,1.55081333333333,0.0206816666666667,-0.975,0.389915254237288,-27.325,-28.2354802259887,0.35,0.838206214689266,48.775,48.431052259887,134.025,65.1865324858757,1.2225,1.96666666666667,0.5925,0.5025,0.0041325,0.0165491666666667,0.59781,0.953003333333333
