Domain,Domain_gene_counts,AA_C,AA_H,AA_N,AA_O,AA_S,GC_adj
 ,339.2409999999999,208315.9684,415349.2539,59255.828899999986,105210.0218,1231.2932,0.588005285213126
 Archaea,17853.30270000003,14060680.003999986,28010738.27990003,3825129.9024999915,6973854.702699975,106176.43439999982,0.49110096135721154
 Bacteria,320227.13420000067,213624195.44900107,426458605.92589813,60871096.62230013,106959590.57029895,1274463.7580999879,0.6799576731409522
 Duplodnaviria,30.004500000000004,17565.2072,35204.679599999996,5332.3124,8926.3843,98.9344,0.6695516859913722
 Eukaryota,3940.9335999999953,2774788.4448000006,5455804.8658000035,767327.0082,1359444.7475000012,19470.66870000002,0.505507150838961
 Riboviria,3.5942,3594.2,7483.1244,1049.5064,1883.3608,10.782599999999999,0.737
 Varidnaviria,5.0303,6299.9839999999995,12119.003499999999,1813.7655,3077.8211,42.1249,0.5645535160113364
 unclassified viruses,16.2672,8742.152699999999,18944.0154,2924.1408,4698.956099999999,34.3206,0.7703666369080324
Unclassified,70414.91430000021,28108869.58330008,56478436.31380023,8085181.062599987,14124122.948400041,177987.2532000001,0.6298010753446261
