Domain,Domain_gene_counts,AA_C,AA_H,AA_N,AA_O,AA_S,GC_adj
 ,717.3523000000001,463567.1200999999,926942.8826999995,131795.11330000003,230637.54059999998,2651.4459,0.6596336724189943
 Archaea,13162.217899999983,9430801.469999997,18726846.696600012,2540213.325399998,4656469.886200006,64065.341000000066,0.4207497164855857
 Bacteria,765317.9734999965,507288254.6876966,1013697754.2735894,144835634.1651997,252970884.14229763,2981274.9966000332,0.6617601371830522
 Duplodnaviria,69.2694,36736.75889999999,74839.7237,10984.8381,19143.1035,185.593,0.653867989447027
 Eukaryota,3057.9659000000006,1840330.2586000005,3691991.316800002,535087.1505999995,924308.1144,9938.724099999998,0.6607048446436212
 Riboviria,4.3977,1521.7856,3049.7437,445.8911,744.3693000000001,8.744,0.553951554163636
 Varidnaviria,22.9509,14396.7536,28594.3137,4016.4011000000005,7542.4132,82.5313,0.6220037108119497
 unclassified viruses,6.1055,3896.9347,7670.8467,1132.4787000000001,1967.1407,16.9038,0.612630618675654
Unclassified,150363.37249999912,57856792.84520027,116739105.12750043,16879592.6677,29068341.408999935,352527.82549999724,0.666006512016841
