Domain,Domain_gene_counts,AA_C,AA_H,AA_N,AA_O,AA_S,GC_adj
 ,90.7265,53763.75669999998,108223.5665,15613.369700000001,26979.9581,282.7964,0.6441141886479084
 Archaea,469.9636999999998,364231.7394,716451.4642999999,103435.08590000002,174836.29979999995,2310.4686,0.4962444969261647
 Bacteria,155359.5709000007,104872297.27769975,208565151.87269995,29538758.769300066,52035070.28270016,690555.2828999994,0.6073650160362605
 Duplodnaviria,23.747600000000002,9582.88,18624.0764,3067.8168000000005,4948.7182,116.94700000000002,0.6347873245770823
 Eukaryota,686.2056000000002,361833.11289999995,719362.7475999998,99290.48679999997,176488.6408000001,2246.5842000000007,0.5359189359059375
 Varidnaviria,3.7647,767.9988,1596.2328,233.4114,429.1758,3.7647,0.7070000000000001
 unclassified viruses,4.4298,3581.857,7014.2537999999995,926.4651999999999,1697.0681999999997,28.3841,0.5428595942375887
Unclassified,22259.94219999995,7892184.517100001,15777482.567599976,2233369.929,3918950.7004999965,55819.92940000015,0.5744590482045899
