,KEGG,GC_adj ,GC_adj Archaea,GC_adj Bacteria,GC_adj Duplodnaviria,GC_adj Eukaryota,GC_adjUnclassified,gene_counts ,gene_counts Archaea,gene_counts Bacteria,gene_counts Duplodnaviria,gene_counts Eukaryota,gene_countsUnclassified
99,K00426,,,0.6515531009088813,,,0.659,,,116.34479999999999,,,5.5721
100,K00428,,,0.5703855121572892,,,,,,52.2232,,,
101,K00432,,,0.6018738919633224,,0.636,,,,41.31699999999999,,1.7908,
102,K00433,,,0.6295075120550361,,,,,,27.4234,,,
103,K00441,,,0.726,,,,,,10.4529,,,
104,K00446,,,0.647465219423238,,,,,,28.256500000000003,,,
105,K00448,,,0.612,,,,,,6.7577,,,
106,K00449,,,0.6407562896864271,,,,,,48.0886,,,
107,K00450,,,0.6363350262948354,,,,,,42.3643,,,
108,K00451,,,0.6483561453657007,,,,,,157.51770000000002,,,
109,K00452,,,0.6000329925326329,,,,,,29.704800000000002,,,
110,K00453,,,0.6249011903673144,,,,,,101.6727,,,
111,K00456,,,0.6858673951210877,,,0.6759999999999999,,,9.8885,,,2.0457
112,K00457,,,0.6355933054377717,,,,,,137.23139999999998,,,
113,K00459,,,0.6579012920586612,,,0.6223258048766679,,,82.7668,,,6.549799999999999
114,K00469,,,0.46771058521897013,,0.612,,,,7.070600000000001,,2.9098,
115,K00472,,,,,,0.434,,,,,,3.7668
116,K00477,,,0.602,,,,,,11.3791,,,
117,K00480,,,0.605,,,,,,7.264,,,
118,K00481,,,0.7045873040252789,,,,,,18.314,,,
119,K00496,,,0.6609999999999999,,,,,,5.5428,,,
120,K00500,,,0.6809999999999999,,,,,,3.3237,,,
121,K00507,,,0.63327014473275,,,,,,73.454,,,
122,K00518,,,0.6616505205144475,,,,,,36.2392,,,
123,K00525,,0.3725565440991529,0.6603892061096548,,,,,12.7219,108.6444,,,
124,K00540,,,0.665824555176532,,,0.5,,,109.95930000000001,,,3.3456
125,K00544,,,0.637,,,,,,3.7852,,,
126,K00548,,,0.6480889582782127,,,,,,172.00530000000003,,,
127,K00549,,,0.6342554114545236,,0.6609999999999999,,,,611.7927999999997,,2.6361,
128,K00554,,,0.6385352282369294,,,,,,86.9141,,,
129,K00555,,0.355,,,,0.406,,4.2629,,,,2.8428
130,K00560,,,0.6069885265953076,,,,,,89.6617,,,
131,K00564,,,0.7201098314755138,,,,,,7.804500000000001,,,
132,K00566,,,0.649,,,,,,6.2566,,,
