Domain,Domain_gene_counts,AA_C,AA_H,AA_N,AA_O,AA_S,GC_adj
 ,306.31710000000015,146983.66430000003,286286.64019999997,36437.585999999996,67782.904,1117.7125999999998,0.4358916132000794
 Archaea,180.0993,158016.84130000003,309270.52080000006,40399.93659999999,75589.60050000003,935.7846999999998,0.4470603139493858
 Bacteria,200817.39499999848,132462517.05859987,264589946.5788001,37315410.73199978,66007533.22889991,891194.0022999954,0.6367307140481309
 Duplodnaviria,67.0541,52849.684000000016,103405.0221,14577.2483,25691.300199999998,357.6063000000001,0.4823009044800494
 Eukaryota,11887.6652,8364482.960400014,16363594.989400003,2216328.283599996,4026881.638599996,57366.30389999995,0.43056983385293396
 Riboviria,14.772400000000001,10453.1476,20664.339900000003,3281.2751,5232.312600000001,90.0473,0.53125931012326
 unclassified viruses,4.9051,8282.7457,15983.382999999998,2198.5807999999997,4030.0202999999997,58.4358,0.3975305007595277
Unclassified,40857.8953000001,13661573.085499993,27234189.904999897,3850230.710999997,6743749.935100013,102070.6139999998,0.5289344508830552
