Domain,Domain_gene_counts,AA_C,AA_H,AA_N,AA_O,AA_S,GC_adj
 ,405.01580000000007,240394.55820000003,477453.35640000005,67381.16240000002,118406.03330000005,1870.6405999999997,0.5965763693605638
 Archaea,2736.5019000000034,1763216.144200002,3512785.4938,488853.2611999999,864276.0656000004,11185.7032,0.541933662152694
 Bacteria,507444.7261000015,346809150.2801049,690800075.2345,98640607.23269986,170690761.2342993,2283841.7863000003,0.6088289048998884
 Duplodnaviria,104.65160000000002,79107.7486,154903.93139999994,21670.8732,39059.3188,550.5480000000001,0.5631971885940689
 Eukaryota,1497.4683999999986,846893.5897000006,1677828.0419000017,239527.46190000008,420747.2213,5972.210900000001,0.5414432135399885
 Varidnaviria,2.2757,1720.4292,3404.4472,482.4484,832.9062,6.8271,0.503
 unclassified viruses,11.1206,12801.722399999999,24567.002999999997,3342.7914,6052.5838,52.435199999999995,0.25673353413794
Unclassified,81589.72279999971,29639767.678400043,59395749.5596999,8512961.077299984,14759656.388000006,227532.6945000001,0.5801338691732186
